boolean_relationship,relationship_info,pmid,chemical_name,disease_name,abstracts
True,systemic toxicity may occur following ingestion chromium(vi) salt chromium(vi) induced skin burns inhalation chromium(vi) occurring occupationallynan,10382555,chromium(VI),skin burns,repeated topical exposure chromium(vi) may cause allergic contact dermatitis formation chrome ulcers systemic toxicity may occur following ingestion chromium(vi) salt chromiumviinduced skin burns inhalation chromium(vi) occurring occupationally soluble chromium(vi) salts usually absorbed easily cross cell membranes readily trivalent chromium salts therefore chromium(vi) toxic chromiumiii experimental studies endogenous ascorbic acid rat lung liver kidney human plasma effectively reduces chromium(vi) chromiumiii administration exogenous ascorbic acid advocated therefore treatment systemic chromium poisoning chromium dermatitis enhance extracellular reduction chromium(vi) less bioavailable chromiumiii
True,numerous clinical trials utilizing various types lipids including fish oil short chain fatty acids suggest fats play important role inflammatory response characterizes inflammatory bowel disease nan,17545776,fatty acids,inflammatory bowel disease,nutrition plays significant role pathogenesis treatment two major forms inflammatory bowel disease crohns disease ulcerative colitis addition patients inflammatory bowel disease often found nutrient deficiencies time diagnosis whereas others develop features malnutrition course illness therefore understanding relationship nutrients inflammatory bowel disease important patients receive optimal care
True,case occupational peritoneal mesothelioma exposure tremolite free chrysotile quebec canada black swan casenan,20721899,tremolite,mesothelioma,tremolite contamination proposed cause mesothelioma workers exposed commercial chrysotile asbestos industry scientists sponsored example argued commercial chrysotile cause peritoneal mesothelioma
False, patients chronic haemodialysis hd serum phosphate level mgdl mmoll recently recommended appropriate target patients endstage renal disease esrd nan,12817070,phosphate,ESRD/end-stage renal disease, patients chronic haemodialysis hd serum phosphate level mgdl mmoll recently recommended appropriate target patients endstage renal disease esrd preventing hyperphosphataemia elevated ca product ameliorates progression secondary hyperparathyroidism bone disease also appears reduce cardiovascular morbidity mortality vascular calcifications dietary phosphate restriction administration aluminium calcium salts principal means phosphate control last decade unfortunately protean disturbances toxic aluminium accumulation body virtually eliminated aluminium clinical practice calciumbased therapy although well tolerated results frequent hypercalcaemia administered concurrently vitamin analogues despite decrease concentration dialysate calcium sevelamer renagelr novel nonabsorbable calcium aluminiumfree synthetic polymer initial studies sevelamer reduced serum phosphate ca product parathyroid hormone pth manner comparable calcium acetate therapy however effect pth levels may prove inconsistent seems somewhat less effective binding phosphate aluminium although direct comparisons made recent study attenuated progression vascular calcification hd patients also binds bile acids resulting substantially lower lowdensity lipoprotein cholesterol levels major obstacle current use substantial increase cost associated sevelamer therapy
True,determine dosing side effects dihydroergotamine affect outcomes primary headache disorders nan,22049203,dihydroergotamine,primary headache disorders,determine dosing side effects dihydroergotamine affect outcomes primary headache disorders
False,use heparin extracorporeal therapies problematical due haemorrhagic complications consequence heparinase flavobacterium heparinum used determination plasma heparin elimination heparin circulationnan,8615834,heparin,haemorrhagic,use heparin extracorporeal therapies problematical due haemorrhagic complications consequence heparinase flavobacterium heparinum used determination plasma heparin elimination heparin circulation report expression recombinant heparinase escherichia coli purification homogeneity characterization purified enzyme heparinase expressed nterminal histidine tag enzyme insoluble inactive could refolded purified homogeneity nickelchelate chromatography cumulative yield recovery purified heparinase mgl culture nterminal sequence molecular mass analysed matrixassisted laser desorption ms consistent predictions heparinase gene structure reversephase hplc profile tryptic digest michaelismenten constant km microgramsml specific activity unitsmg purified recombinant heparinase similar native enzyme degradation heparin heparinase results characteristic product distribution different obtained degradation heparinase ii iii heparinum developed rapid anionexchange hplc method separate products enzymic heparin degradation using poros perfusion chromatography media separation characteristic di tetra hexasaccharide products performed min methods expression purification analysis recombinant heparinase may facilitate development heparinase ibased medical therapies well investigation structures heparin heparan sulphate role extracellular matrix
False,patients discontinue mp aza laboratory abnormalities improved spontaneously dose reductionnan,18266236,AZA,laboratory abnormalities,mercaptopurine mp prodrug azathioprine aza effective induction maintenance remission reduction corticosteroid exposure pediatric inflammatory bowel disease ibd standard dose 6-mp mgkgday aza mgkgday aim study determine whether ibd patients years age younger require higher standard doses mpaza achieve clinical remission
True,epht recruited womens health initiative whi usa decided stop estrogen progestin trial mean years july increased risk breast cancer later estrogen trial ht increased risk stroke decreased risk hip fracture affect coronary heart disease incidencenan,18673555,estrogen,breast cancer,preventive drugs require longterm trials show effectiveness harms often lot changes occur postmarketing studies purpose article describe research process longterm randomized controlled trial discuss impact consequences changes research environment
True,unusual burn injury due application white vinegar aspirin mixturenanread googles xd,24102713,aspirin,Unusual burn injury,traditional medicine remedies believed provide relief pain nevertheless risky procedure remedies prepared inappropriately describe patient suffered splitthickness leg burn applying selfinflicted mixture consisting white vinegar aspirin prepared knee pain case report highlights rare cause chemical burn could become common increasing use traditional remedies worldwide
True,supersensitivity noradrenaline contributes certain vascular disorders eg hypertension chronic neuropathic pain conditions eg complex regional pain syndromenan,11474550,noradrenaline,hypertension,supersensitivity noradrenaline contributes certain vascular disorders eg hypertension chronic neuropathic pain conditions eg complex regional pain syndrome aimed develop procedure inducing adrenergic supersensitivity could used investigate role catecholamines clinical conditions first study three doses guanethidine administered iontophoresis separate small patches skin forearm healthy human volunteers four five hours later vasoconstrictor response adrenergic releasing agent tyramine inhibited dosedependent manner iontophoretic pretreatment guanethidine indicating guanethidine depleted endogenous adrenergic stores second study guanethidine saline administered iontophoresis four times approximately weeks separate sites forearm one two days final pretreatment vasoconstriction iontophoresis weak dose noradrenaline enhanced sites pretreated guanethidine investigate effect guanethidine pretreatment thermal hyperalgesia experimental sites sensitized heat topical application capsaicin application capsaicin heatpain threshold heatpain ratings suprathreshold stimulation similar sites pretreated weeks guanethidine saline however iontophoresis noradrenaline thermal hyperalgesia greater guanethidinepretreated site saline pretreated site observations indicate prolonged depletion adrenergic stores guanethidine induces adrenergic supersensitivity cutaneous vessels adrenergic supersensitivity enhances thermal hyperalgesia presence noradrenaline
True, patients receiving leuprolide weight gain kgnan,7516978,leuprolide,weight gain,luteinizing hormone releasing hormone agonist leuprolide investigated doubleblind randomized placebocontrolled study comprising evaluable patients moderate severe symptoms resulting benign prostatic hyperplasia patients received mg leuprolide depot placebo injection every days weeks hemoglobin level decreased gm ml  patients receiving leuprolide mean testicular volume decreased 
True,however mechanisms myocardial ischemia induced epinephrine significantly different exercisenan,3413271,epinephrine,myocardial ischemia,role epinephrine eliciting myocardial ischemia examined patients coronary artery disease objective signs ischemia factors increasing myocardial oxygen consumption compared epinephrine infusion supine bicycle exercise epinephrine exercise produced myocardial ischemia evidenced st segment depression angina however mechanisms myocardial ischemia induced epinephrine significantly different exercise exerciseinduced myocardial ischemia marked predominantly increased heart rate ratepressure product minor contribution enddiastolic volume epinephrineinduced ischemia characterized marked increase contractility less pronounced increase heart rate ratepressure product findings indicate ischemia produced epinephrine may occur states emotional distress mechanism distinct due physical exertion
True,animal studies suggested skin exposure isocyanates may important risk factor respiratory sensitization leading asthma nan,10642416,isocyanates,asthma,little known extent human isocyanate skin exposure auto body shops effectiveness personal protective equipment animal studies suggested skin exposure isocyanates may important risk factor respiratory sensitization leading asthma study provides initial data hexamethylene diisocyanate skin exposure three auto body shops
False,inhibitory effect bombesin gastrinreleasing peptide antagonist rc-3095 luteinizing hormonereleasing hormone antagonist sb-75 growth mcf miii human breast cancer xenografts athymic nude micenan,8313327,bombesin,breast cancer,results several clinical trials using various luteinizing hormonereleasing hormone agonists treatment advanced breast cancer encouraging however breast cancers estrogendependent treated hormonal manipulation new therapeutic approaches combining estrogen ablation therapy compounds must explored various studies suggest bombesin gastrinreleasing peptide acts autocrine growth factor may play role initiation progression cancers including breast
False,twentyone consecutive cancer patients morphineinduced delirium underwent opioid rotation fentanyl nan,16043013,fentanyl,cancer,although recent studies suggest opioid rotation could effective treatment strategy morphineinduced delirium prospective studies investigate treatment effects opioid rotation using fentanyl primary aim study clarify efficacy opioid rotation morphine fentanyl symptom palliation morphineinduced delirium twentyone consecutive cancer patients morphineinduced delirium underwent opioid rotation fentanyl physicians recorded symptom severity delirium memorial delirium assessment scale mdas pain symptoms categorical verbal scale none severe schedule team assessment scale stas none extreme performance status time study enrollment three seven days patients recruited one patient complete study remaining patients morphine substituted transdermal fentanyl patients parenteral fentanyl patients total opioid dose increased mg oral morphine equivalentday day  mgday day median increase total opioid dose treatment success defined mdas score pain score less obtained patients day  patients day mean mdas score significantly decreased day  days  respectively
True,reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycinnan,9270425,salicylates,hearing loss,reversible irreversible ototoxicity documented following administration various therapeutic agents reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycin report case reversible hearing loss following okt murine monoclonal antibody cd administration okt monoclonal antibody used immunosuppressant following cadaveric renal transplants associated transient sensorineural hearing loss reversed following discontinuation okt
False,predictive therapeutic value thymidine phosphorylase dihydropyrimidine dehydrogenase capecitabine xelodabased chemotherapy head neck cancer nan,19117293,thymidine,head and neck cancer,evaluate whether two molecular biomarkers thymidine phosphorylase tp dihydropyrimidine dehydrogenase dpd could clinically useful predicting improving chemotherapeutic outcome oral fluoropyrimidine capecitabine dfur xeloda treatment human head neck squamous cell carcinoma hnscc
False,blockade reninangiotensin aldosterone system proven effective retarding progression renal disease remnant kidney model well experimental diseases importantly range progressive human renal diseasesnan,11709805,aldosterone,diseases,blockade reninangiotensinaldosterone system proven effective retarding progression renal disease remnant kidney model well experimental diseases importantly range progressive human renal diseases attention focused role angiotensin ii ang ii propagating progression hemodynamic nonhemodynamic actions recent evidence predominately remnant kidney model indicates drugs used block hormone system angiotensinconverting enzyme inhibitors angiotensin ii receptor blockers also lower aldosterone levels thus aldosterone well angiotensin ii appears instrumental sustaining hypertension fibroproliferative destruction residual kidney
True,low dose aspirin asa use associated wide range adverse side effects upper gastrointestinal gi tract range troublesome symptoms without mucosal lesions serious toxicity including ulcers gi bleeding perforation even deathnan,22542152,aspirin,ulcers,low dose aspirin asa use associated wide range adverse side effects upper gastrointestinal gi tract range troublesome symptoms without mucosal lesions serious toxicity including ulcers gi bleeding perforation even death upper gi symptoms low dose asa users common often careless misinterpreted always related presence mucosal injury usually low dose asa related ulcers reasonably small asymptomatic probably heal period weeks months real clinical problem occurs ulcer results gi complication mostly bleeding estimated average excess risk symptomatic complicated ulcer related low dose asa five cases per asa users per year death worst outcome gi complications low dose asa users data aspect scarce current evidence indicates low dose asa damage lower gi tract also real size problem still unknown
True,steroids reported activate hypothalamic networks sexdifferentiated waynan,18056697,steroids,hypothalamic networks,one working hypothesis behind transsexuality normal sex differentiation certain hypothalamic networks altered tested hypothesis investigating pattern cerebral activation nonhomosexual maletofemale transsexuals mftrs smelling androstadienone estratetraenol est steroids reported activate hypothalamic networks sexdifferentiated way like female controls hypothalamus mftrs activated whereas smelling est engaged amygdala piriform cortex male controls hand activated hypothalamus est however restricting volume interest hypothalamus activation detected mftr also est explorative conjunctional analysis revealed mftr shared hypothalamic cluster women smelling men smelling est est effect limited mftr differed significantly male controls estair estand data suggest pattern activation away biological sex occupying intermediate position predominantly femalelike features mftrs nonhomosexual results unlikely effect sexual practice instead data implicate transsexuality may associated sexatypical physiological responses specific hypothalamic circuits possibly consequence variant neuronal differentiation
False,effects urinary albumin excretion renal function changes delapril manidipine normotensive type diabetic patients microalbuminurianan,11336083,manidipine,diabetic,study designed investigate effect delapril ace inhibitor manidipine long action calcium antagonist persistent microalbuminuria normotensive type diabetic patients sixty type diabetic patients randomized take delapril mgday manidipine mgday weeks open label design twenty eight thirty subjects delapril group twenty nine thirty manidipine group completed study urine albumin excretion measured urinary albumin creatinine ratio decreased significantly groups  mgg  mgg delapril manidipine group respectively mgg significant changes fasting plasma glucose hbac serum fructosamine creatinine potassium lipid profiles weeks treatment groups two cases delapril group withdrawn study intolerable cough one case manidipine group intolerable dizziness headache conclusion delapril manidipine effective reduction microalbuminuria normotensive type diabetic patients persistent microalbuminuria
False,inhibitors activity ethanol 4-methylpyrazole isoniazid caused decrease methylation cellular macromolecules also completely protected cells ndmamediated toxicity nan,9498284,4-methylpyrazole,toxicity,gm human fibroblast cell line transfected pcmve expression vector containing full length cdna rat cytochrome pcmvneo contained vector alone selected clones designated gme gmneo respectively western blot analysis showed gme gmneo expressed protein reacted antihuman antibody ethoxycoumarin odeethylasepnitrophenol hydroxylase nnitrosodimethylamine ndma demethylase activities cells measured monolayer cell cultures without preparing microsomes exposure gme cells ndma days caused severe decreases cell viability determined crystal violet uptake showed sigmoidal doseresponse curve median lethal dose microm contrast viability gmneo cells altered ndma even concentrations mm time concentrationdependent methylation dna rna protein cndma observed cells expressing inhibitors activity ethanol methylpyrazole isoniazid caused decrease methylation cellular macromolecules also completely protected cells ndmamediated toxicity cytotoxicity due exposure ndma partially inhibited antioxidants nacetylcysteine ascorbic acid butylated hydroxyanisole ntbutylalphaphenylnitrone potentiated upon glutathione depletion results document ability rat metabolize ndma toxic reactive intermediates demonstrate cell line provides useful model studying mechanisms metabolismmediated toxicity carcinogenesis
True,nicotine wellknown unpleasant side effects eg transient dizziness nausea nicotine induced nystagmus ninnan,17990061,Nicotine,nausea,nicotine wellknown unpleasant side effects eg transient dizziness nausea nicotineinduced nystagmus nin investigate factors influencing effects addressed three questions intensity dizziness nausea nin unsteadiness dependent nicotine dosage intensity perceptual ocular motor vegetative effects postural imbalance correlate visual vestibular motion stimuli produce andor aggravate distressing dizziness nausea sixty healthy nonsmokers occasional smokers participated tested six times application nicotine nasal spray doses mg mg without motion stimulation received placebo nasal spray plasma nicotine concentrations significantly related nicotine dosage dizziness nausea nin unsteadiness also depended nicotine dosage
False,modulating effect recombinant human interferon alpha ifnalpha antitumor efficacy 5-fluorouracil 5-fu human carcinoma cell lines investigated vitro vivonan,8074466,5-FU/5-fluorouracil,carcinoma,modulating effect recombinant human interferon alpha ifnalpha antitumor efficacy 5-fluorouracil fu human carcinoma cell lines investigated vitro vivo fu fluorouridine fur fluorodeoxyuridine fudr tested cultured human colon tumor cells without ifnalpha vitro antitumor activity 5-fu enhanced addition ifnalpha ifnalpha increase effect fur fudr vivo antitumor activity 5-fu without ifnalpha assessed using co human colon carcinoma xenograft nude mice thymidylate synthetase inhibition concentration fur treated tumor tissues concomitantly measured synergistic effect 5-fu ifnalpha observed co nude mice vivo synergism obtained without increment thymidylate synthetase inhibition side effects terms death rate body weight loss intratumoral concentration fur significantly increased addition ifnalpha co tumor tissue treated fu results suggest mechanism combined effect 5-fu ifnalpha related enhancement thymidylate synthetase inhibition increase fur concentration target tumor tissue expected combination method clinically useful treatment advanced colorectal carcinoma
True,prompted case clozapine related pericarditis adolescent undertook retrospective chart review discover whether unrecognized cases myocarditis pericarditis cardiomyopathy among children adolescents young adults treated clozapine nan,15319023,clozapine,myocarditis,clozapine known cause cardiac side effects including myocarditis pericarditis cardiomyopathy prompted case clozapinerelated pericarditis adolescent undertook retrospective chart review discover whether unrecognized cases myocarditis pericarditis cardiomyopathy among children adolescents young adults treated clozapine sample comprised total patients monitored regularly period ranging  months average observation period months patients assessed potential indicators myocarditis pericarditis cardiomyopathy patients least one several parameters potentially indicative pericarditis myocarditis cardiomyopathy abnormal least one instance observation period cases abnormalities discovered abnormalities found unspecific myocarditis pericarditis cardiomyopathy exception case prompted study none patients found developed disorder course treatment clozapine
True,reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycin nan,9270425,erythromycin,hearing loss,reversible irreversible ototoxicity documented following administration various therapeutic agents reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycin report case reversible hearing loss following okt murine monoclonal antibody cd administration okt monoclonal antibody used immunosuppressant following cadaveric renal transplants associated transient sensorineural hearing loss reversed following discontinuation okt
False,triiodothyronine augmentation ssris may promising treatment strategy ssriresistant mdd particularly subjects atypical mdd subtypenan,16086620,Triiodothyronine,MDD,open trial investigated efficacy triiodothyronine adjuvant selective serotonin reuptake inhibitors ssris subjects major depressive disorder mdd resistant ssri treatment
True,hand mydriasis tremor clonictonic convulsions evoked carbachol eserine significantly changed calcium chloridenan,6892185,carbachol,mydriasis,effect calcium chloride injected cerebral ventricles grouphoused unanaesthetized cats upon vocalization rage hissing snarling fighting attack paws claws defense paws claws biting mydriasis tremor clonictonic convulsions produced carbachol eserine injected similarly investigated calcium chloride depressed almost completely abolished vocalization fighting due carbachol eserine hand mydriasis tremor clonictonic convulsions evoked carbachol eserine significantly changed calcium chloride apparent calcium chloride dissociate vocalization fighting autonomic motor phenomena mydriasis tremor clonictonic convulsions caused carbachol eserine calcium chloride inhibited vocalization fighting produced carbachol eserine probably nonspecific stabilizing action central muscarinic cholinoceptive sites results support view calcium ions excess atropinelike action also central nervous system
False, children bacteriologically andor serologically diagnosed typhoid fever treated kem hospital bombay initially one three recommended drugs viz chloramphenicol amoxycillin cotrimoxazole given days defervescence occurnan,9136240,amoxycillin,typhoid fever, children bacteriologically andor serologically diagnosed typhoid fever treated kem hospital bombay initially one three recommended drugs viz chloramphenicol amoxycillin cotrimoxazole given days defervescence occur failed respond second trial therapy one two drugs initiated omitting first drug second failure therapy taken indication use ciprofloxacin singly eventually  cases responded chloramphenicol amoxycillin cotrimoxazole ciprofloxacin used cases failure rate treatment chloramphenicol amoxycillin cotrimoxazole  ciprofloxacin analysis cases revealed apart fever splenomegaly important clinical pointer diagnosis along absolute eosinopenia major complications except cases typhoid hepatitis responded choramphenicol cotrimoxazole respectively blood culture grew salmonella typhi cases  multidrug resistant typhi characteristic clinical features identify multidrug resistant typhoid fever
False,vitro antistaphylococcal activity rp new streptogramin comparable vancomycin teicoplanin staphylococcus aureus rp active agent coagulasenegative staphylococcinan,1503448,vancomycin,RP,vitro antistaphylococcal activity rp new streptogramin comparable vancomycin teicoplanin staphylococcus aureus rp active agent coagulasenegative staphylococci staphylococcal strains inhibited micrograms rp per ml including multiply resistant strains broth microdilution agar dilution testing gave comparable results tests rp 
True,intestinal pseudoobstruction ogilvies syndrome occurred patients placebo group patients lactulose group patients polyethylene glycol groupnan,17893628,lactulose,Intestinal pseudoobstruction,study whether lactulose polyethylene glycol effective promote defecation critically ill patients whether either two superior whether use enteral laxatives related clinical outcome
True,spasm provocation test using acetylcholine performed carefully although considered safe reliable methodnan,11078314,acetylcholine,spasm,study sought clarify major complications associated acetylcholine testing serious major complications sustained ventricular tachycardia shock cardiac tamponade determined  patients cases death irreversible complications occurred spasm provocation test using acetylcholine performed carefully although considered safe reliable method
True,strong association found nephritis dermatitis due tiopronin dpenicillamine like compound class antigens bcw dermatitis due gold thiosulphatenan,3084782,Tiopronin,nephritis,twentyfive patients rheumatoid arthritis ra developed toxicity taking remission inducing drugs without toxicity studied possible associations class ii hla antigens strong association found nephritis dermatitis due tiopronin dpenicillamine like compound class antigens bcw dermatitis due gold thiosulphate compared healthy controls lower dr frequency observed patients ra except tiopronin related nephritis group
True,depression memory problems anxiety mood fluctuation poor concentration infections tremorstwitches weight loss significantly associated extent ecstasy usenan,12404677,Ecstasy,memory problems,recreational use mdmaecstasy methylenedioxymethamphetamine associated many psychobiological problems paucity data relate level past use
False,eight single nucleotide polymorphisms snps slca genotyped aspirin intolerant asthma aia aspirin tolerant asthma ata patients korean ethnicitynan,20597903,aspirin,asthma,aspirinintolerant asthma aia occurs asthma exacerbation exposure aspirin however underlying mechanisms aia occurrence still unclear critical role solute carrier family neurotransmitter transporter betainegaba member slca gene gabaergic transmission associated mucus production asthma makes candidate gene aia association study eight single nucleotide polymorphisms snps slca genotyped aspirinintolerant asthma aia aspirintolerant asthma ata patients korean ethnicity associations polymorphisms slca aia analysed using multivariate logistic analysis results showed two polymorphisms haplotype slca rs pcorr rs nonsynonymous cr pcorr slcablht pcorr respectively significantly associated aia multiple testing corrections addition snps slca significantly associated fall rate fev aspirin provocation suggesting slca could affect reversibility lung function abnormalities aia patients although results preliminary future replications needed confirm findings study showed evidence association variants slca aia occurrence among asthmatics korean population
False,patients significant lung disease aviptadil tended improve oxygenationnan,18978135,aviptadil,lung disease,pulmonary hypertension ph leads increased right ventricular workload cardiac failure death idiopathic pulmonary arterial hypertension pah vasodilating vasoactive intestinal peptide aviptadil deficient aim present study test acute effects haemodynamics blood gases safety single dose inhaled aviptadil chronic ph total patients ph pah nine ph lung disease eight chronic thromboembolic ph three inhaled single microg dose aviptadil rightheart catheterisation haemodynamics blood gases measured aviptadil aerosol caused small temporary significant selective pulmonary vasodilation improved stroke volume mixed venous oxygen saturation overall six patients experienced pulmonary vascular resistance reduction  patients significant lung disease aviptadil tended improve oxygenation pulmonary vasodilating effect aviptadil aerosol modest shortlived cause sideeffects led reduced workload right ventricle without affecting systemic blood pressure aviptadil inhalation tended improve oxygenation patients significant lung disease studies needed evaluate full therapeutic potential aviptadil aerosol including higher doses chronic treatment
True,tenofovir particularly given ritonavir boosted protease inhibitor rpi reduces bone mineral density bmd increases bone turnover markers btms associated increased fracture risknan,24460797,ritonavir,fracture,tenofovir particularly given ritonavirboosted protease inhibitor rpi reduces bone mineral density bmd increases bone turnover markers btms associated increased fracture risk raltegravir associated bone loss
False,reflectance confocal microscopy rcm noninvasive method validated monitoring treatment lm imiquimod nanused treatment,24725478,imiquimod,LM,imiquimod used treating lentigo maligna lm selected cases surgery appropriate option functional aesthetic impairment reflectance confocal microscopy rcm noninvasive method validated monitoring treatment lm imiquimod
False,studies far patients shock syndrome possible effects corticosteroids thrombocytopenia bleeding well complications dengue unknownnan,18789467,corticosteroids,thrombocytopenia,dengue infection results significant morbidity mortality worldwide current recommended treatment largely supportive careful fluid replacement specific treatment available although corticosteroids mentioned guidelines management dengue clinicians use corticosteroids empirically based presumed immunological basis complications dengue evidence base benefit lack benefit corticosteroids dengue limited previous studies small methodological flaws less stringent randomisation unclear allocation concealment performed long time ago studies far patients shock syndrome possible effects corticosteroids thrombocytopenia bleeding well complications dengue unknown previous studies children effect corticosteroid treatment adults dengue infection evaluated possible beneficial effects corticosteroids various manifestations dengue infection need evaluation adequately powered well designed randomised controlled trials
