boolean_relationship,relationship_info,pmid,chemical_name,disease_name,abstracts
False,inflammatory hypersensitivity reactions restylane occurrednan,24529939,Restylane,hypersensitivity,"Restylane is a relatively new material being used for temporary vocal fold medialization. Few studies have evaluated the safety, complication rate, and length of benefit derived from Restylane injection medialization. We report on 64 patients who underwent office-based injection medialization with Restylane to establish the safety of and length of benefit from this material."
True,systemic toxicity may occur following ingestion chromium(vi) salt chromium(vi) induced skin burns inhalation chromium(vi) occurring occupationallynan,10382555,chromium(VI),skin burns,"Repeated topical exposure to chromium(VI) may cause an allergic contact dermatitis or the formation of chrome ulcers. Systemic toxicity may occur following the ingestion of a chromium(VI) salt, from chromium(VI)-induced skin burns, or from inhalation of chromium(VI) occurring occupationally. Soluble chromium(VI) salts are usually absorbed more easily and cross cell membranes more readily than trivalent chromium salts, and, therefore chromium(VI) is more toxic than chromium(III). In experimental studies, endogenous ascorbic acid in rat lung, liver, and kidney and human plasma, effectively reduces chromium(VI) to chromium(III). The administration of exogenous ascorbic acid has been advocated therefore in the treatment of systemic chromium poisoning and chromium dermatitis to enhance the extracellular reduction of chromium(VI) to the less bioavailable chromium(III)."
True,numerous clinical trials utilizing various types lipids including fish oil short chain fatty acids suggest fats play important role inflammatory response characterizes inflammatory bowel disease nan,17545776,fatty acids,inflammatory bowel disease,"Nutrition plays a significant role in the pathogenesis and treatment of the two major forms of inflammatory bowel disease: Crohn's disease and ulcerative colitis. In addition, patients with inflammatory bowel disease are often found to have nutrient deficiencies at the time of diagnosis, whereas others develop features of malnutrition over the course of their illness. Therefore, an understanding of the relationship between nutrients and inflammatory bowel disease is important if these patients are to receive optimal care."
True,case occupational peritoneal mesothelioma exposure tremolite free chrysotile quebec canada black swan casenan,20721899,tremolite,mesothelioma,"Tremolite contamination has been proposed as the cause of mesothelioma in workers exposed to commercial chrysotile. The asbestos industry and scientists it has sponsored, for example, have argued that commercial chrysotile does not cause peritoneal mesothelioma."
False, patients chronic haemodialysis hd serum phosphate level mgdl mmoll recently recommended appropriate target patients endstage renal disease esrd nan,12817070,phosphate,ESRD/end-stage renal disease,"More than 60% of patients on chronic haemodialysis (HD) have a serum phosphate level above 5.5 mg/dl (1.75 mmol/l), which recently has been recommended as an appropriate target in patients with end-stage renal disease (ESRD). Preventing hyperphosphataemia and elevated Ca x P product not only ameliorates the progression of secondary hyperparathyroidism and bone disease, but also appears to reduce cardio-vascular morbidity and mortality from vascular calcifications. Dietary phosphate restriction and the administration of aluminium and calcium salts have been the principal means of phosphate control over the last decade. Unfortunately, the protean disturbances of toxic aluminium accumulation in the body virtually eliminated aluminium from clinical practice. Calcium-based therapy, although well tolerated, results in frequent hypercalcaemia when administered concurrently with vitamin D analogues, despite a decrease in the concentration of dialysate calcium. Sevelamer (Renagel((R))) has been a novel, non-absorbable calcium- and aluminium-free synthetic polymer. In initial studies, sevelamer reduced serum phosphate, Ca x P product and parathyroid hormone (PTH) in a manner comparable with calcium acetate therapy. However, the effect on PTH levels may prove to be inconsistent. It seems somewhat less effective in binding phosphate than aluminium, although no direct comparisons have been made. In a recent study, it attenuated the progression of vascular calcification in HD patients. It also binds bile acids, resulting in substantially lower low-density lipo-protein cholesterol levels. The major obstacle to its current use is a substantial increase in the cost associated with sevelamer therapy."
True,determine dosing side effects dihydroergotamine affect outcomes primary headache disorders nan,22049203,dihydroergotamine,primary headache disorders,To determine dosing and side effects of dihydroergotamine as they affect outcomes in primary headache disorders.
False,use heparin extracorporeal therapies problematical due haemorrhagic complications consequence heparinase flavobacterium heparinum used determination plasma heparin elimination heparin circulationnan,8615834,heparin,haemorrhagic,"The use of heparin for extracorporeal therapies has been problematical due to haemorrhagic complications; as a consequence, heparinase I from Flavobacterium heparinum is used for the determination of plasma heparin and for elimination of heparin from circulation. Here we report the expression of recombinant heparinase I in Escherichia coli, purification to homogeneity and characterization of the purified enzyme. Heparinase I was expressed with an N-terminal histidine tag. The enzyme was insoluble and inactive, but could be refolded, and was purified to homogeneity by nickel-chelate chromatography. The cumulative yield was 43%, and the recovery of purified heparinase I was 14.4 mg/l of culture. The N-terminal sequence and the molecular mass as analysed by matrix-assisted laser desorption MS were consistent with predictions from the heparinase I gene structure. The reverse-phase HPLC profile of the tryptic digest, the Michaelis-Menten constant Km (47 micrograms/ml) and the specific activity (117 units/mg) of purified recombinant heparinase I were similar to those of the native enzyme. Degradation of heparin by heparinase I results in a characteristic product distribution, which is different from those obtained by degradation with heparinase II or III from F. heparinum. We developed a rapid anion-exchange HPLC method to separate the products of enzymic heparin degradation, using POROS perfusion chromatography media. Separation of characteristic di-, tetra- and hexa-saccharide products is performed in 10 min. These methods for the expression, purification and analysis of recombinant heparinase I may facilitate further development of heparinase I-based medical therapies as well as further investigation of the structures of heparin and heparan sulphate and their role in the extracellular matrix."
False,patients discontinue mp aza laboratory abnormalities improved spontaneously dose reductionnan,18266236,AZA,laboratory abnormalities,6-Mercaptopurine (6-MP) and its prodrug azathioprine (AZA) are effective for the induction and maintenance of remission and reduction of corticosteroid exposure for pediatric inflammatory bowel disease (IBD). The standard dose of 6-MP is 1.0-1.5 mg/kg/day and for AZA is 2.0-2.5 mg/kg/day. The aim of this study was to determine whether IBD patients 6 years of age and younger require higher than standard doses of 6-MP/AZA to achieve clinical remission.
True,epht recruited womens health initiative whi usa decided stop estrogen progestin trial mean years july increased risk breast cancer later estrogen trial ht increased risk stroke decreased risk hip fracture affect coronary heart disease incidencenan,18673555,estrogen,breast cancer,Preventive drugs require long-term trials to show their effectiveness or harms and often a lot of changes occur during post-marketing studies. The purpose of this article is to describe the research process in a long-term randomized controlled trial and discuss the impact and consequences of changes in the research environment.
True,unusual burn injury due application white vinegar aspirin mixturenanread googles xd,24102713,aspirin,Unusual burn injury,"Traditional medicine remedies are believed to provide relief from pain; nevertheless, it can be a risky procedure if these remedies are prepared inappropriately. Here, we describe a patient who suffered from a split-thickness leg burn after applying a self-inflicted mixture consisting of white vinegar and aspirin prepared for knee pain. This case report highlights a rare cause of a chemical burn that could become more common with increasing use of traditional remedies worldwide. "
True,supersensitivity noradrenaline contributes certain vascular disorders eg hypertension chronic neuropathic pain conditions eg complex regional pain syndromenan,11474550,noradrenaline,hypertension,"Supersensitivity to noradrenaline contributes to certain vascular disorders (e.g., hypertension) and chronic neuropathic pain conditions (e.g., complex regional pain syndrome). We aimed to develop a procedure for inducing adrenergic supersensitivity that could be used to investigate the role of catecholamines in these clinical conditions. In the first study, three doses of guanethidine were administered by iontophoresis to separate small patches of skin in the forearm of healthy human volunteers. Four to five hours later. the vasoconstrictor response to the adrenergic releasing agent tyramine was inhibited in a dose-dependent manner by iontophoretic pretreatment with guanethidine, indicating that guanethidine had depleted endogenous adrenergic stores. In a second study, guanethidine and saline were administered by iontophoresis four times over approximately 2 weeks at separate sites in the forearm. One to two days after the final pretreatment, vasoconstriction to the iontophoresis of a weak dose of noradrenaline was enhanced at sites pretreated with guanethidine. To investigate the effect of guanethidine pretreatment on thermal hyperalgesia. the experimental sites were sensitized to heat by the topical application of 0.6% capsaicin. Both before and after the application of capsaicin, the heat-pain threshold and heat-pain ratings to suprathreshold stimulation were similar at sites pretreated for 2 weeks with guanethidine or saline. However, after the iontophoresis of noradrenaline, thermal hyperalgesia was greater at the guanethidine-pretreated site than the saline pretreated site. These observations indicate that prolonged depletion of adrenergic stores by guanethidine induces adrenergic supersensitivity in cutaneous vessels, and that adrenergic supersensitivity enhances thermal hyperalgesia in the presence of noradrenaline."
True, patients receiving leuprolide weight gain kgnan,7516978,leuprolide,weight gain,"The luteinizing hormone releasing hormone agonist leuprolide was investigated in a double-blind, randomized, placebo-controlled study comprising 50 evaluable patients with moderate to severe symptoms resulting from benign prostatic hyperplasia. Patients received 3.75 mg. leuprolide depot or placebo as an injection every 28 days for 24 weeks. Hemoglobin level decreased by 0.8 gm/100 ml. (p = 0.0052) for patients receiving leuprolide. Mean testicular volume decreased by 28.9% (p < 0.001) compared to placebo. Of 26 patients receiving leuprolide 5 had a weight gain of more than 3 kg. Almost all patients receiving leuprolide experienced hot flushes. Breast changes, and loss of energy and vigor were not more pronounced than for patients receiving placebo. Erectile function and sexual activity were lost during treatment. Libido also decreased but was still partially retained. Despite this, patients receiving leuprolide were generally contented with their sexual life during treatment. Side effects were bothersome for some patients but were reversible. Of the patients in our study 73% expressed that they could repeat or continue treatment if that had been possible. The high cost of these drugs will limit their use for a benign condition, such as benign prostatic hyperplasia."
True,however mechanisms myocardial ischemia induced epinephrine significantly different exercisenan,3413271,epinephrine,myocardial ischemia,"The role of epinephrine in eliciting myocardial ischemia was examined in patients with coronary artery disease. Objective signs of ischemia and factors increasing myocardial oxygen consumption were compared during epinephrine infusion and supine bicycle exercise. Both epinephrine and exercise produced myocardial ischemia as evidenced by ST segment depression and angina. However, the mechanisms of myocardial ischemia induced by epinephrine were significantly different from those of exercise. Exercise-induced myocardial ischemia was marked predominantly by increased heart rate and rate-pressure product with a minor contribution of end-diastolic volume, while epinephrine-induced ischemia was characterized by a marked increase in contractility and a less pronounced increase in heart rate and rate-pressure product. These findings indicate that ischemia produced by epinephrine, as may occur during states of emotional distress, has a mechanism distinct from that due to physical exertion."
True,animal studies suggested skin exposure isocyanates may important risk factor respiratory sensitization leading asthma nan,10642416,isocyanates,asthma,Little is known about the extent of human isocyanate skin exposure in auto body shops and the effectiveness of personal protective equipment. Animal studies have suggested that skin exposure to isocyanates may be an important risk factor for respiratory sensitization leading to asthma. This study provides initial data on hexamethylene diisocyanate skin exposure in three auto body shops.
False,inhibitory effect bombesin gastrinreleasing peptide antagonist rc-3095 luteinizing hormonereleasing hormone antagonist sb-75 growth mcf miii human breast cancer xenografts athymic nude micenan,8313327,bombesin,breast cancer,"The results of several clinical trials using various luteinizing hormone-releasing hormone agonists for treatment of advanced breast cancer are encouraging. However, only about 30% of breast cancers are estrogen-dependent and can be treated by hormonal manipulation. New therapeutic approaches combining estrogen ablation therapy with other compounds must be explored. Various studies suggest that bombesin or gastrin-releasing peptide acts as an autocrine growth factor and may play a role in the initiation and progression of some cancers, including that of the breast."
False,twentyone consecutive cancer patients morphineinduced delirium underwent opioid rotation fentanyl nan,16043013,fentanyl,cancer,"Although recent studies suggest that opioid rotation could be an effective treatment strategy for morphine-induced delirium, there have been no prospective studies to investigate the treatment effects of opioid rotation using fentanyl. The primary aim of this study was to clarify the efficacy of opioid rotation from morphine to fentanyl in symptom palliation of morphine-induced delirium. Twenty-one consecutive cancer patients with morphine-induced delirium underwent opioid rotation to fentanyl. Physicians recorded the symptom severity of delirium (the Memorial Delirium Assessment Scale, MDAS), pain, and other symptoms (categorical verbal scale from 0: none to 3: severe) and the Schedule for Team Assessment Scale (STAS) (from 0: none to 4: extreme); and performance status at the time of study enrollment and three and seven days after. Of 21 patients recruited, one patient did not complete the study. In the remaining 20 patients, morphine was substituted with transdermal fentanyl in 9 patients and parenteral fentanyl in 11 patients. Total opioid dose increased from 64 mg oral morphine equivalent/day (Day 0) to 98 mg/day (Day 7), and the median increase in total opioid dose was 42%. Treatment success, defined as an MDAS score below 10 and pain score of 2 or less, was obtained in 13 patients on Day 3 and 18 patients on Day 7. The mean MDAS score significantly decreased from 14 (Day 0) to 6.4 and 3.6 (Days 3 and 7, respectively, P < 0.001). Pain scores significantly decreased from 2.2 (Day 0) to 1.3 and 1.1 on the categorical verbal scale (Days 3 and 7, respectively, P < 0.001); from 2.6 (Day 0) to 1.6 and 1.3 on the STAS (Days 3 and 7, respectively, P < 0.001). Symptom scores of dry mouth, nausea, and vomiting significantly decreased, and performance status significantly improved. Opioid rotation from morphine to fentanyl may be effective in alleviating delirium and pain in cancer patients with morphine-induced delirium."
True,reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycinnan,9270425,salicylates,hearing loss,"Reversible and irreversible ototoxicity has been documented following the administration of various therapeutic agents. Reversible hearing loss is a known complication following the administration of quinine, salicylates and other nonsteroidal anti-inflammatory drugs, and erythromycin. We report a case of reversible hearing loss following OKT3 (murine monoclonal antibody CD3) administration. OKT3, a monoclonal antibody used as an immunosuppressant following cadaveric renal transplants, was associated with a transient sensorineural hearing loss that reversed following discontinuation of OKT3."
False,predictive therapeutic value thymidine phosphorylase dihydropyrimidine dehydrogenase capecitabine xelodabased chemotherapy head neck cancer nan,19117293,thymidine,head and neck cancer,"To evaluate whether two molecular biomarkers, thymidine phosphorylase (TP) and dihydropyrimidine dehydrogenase (DPD), could be clinically useful in predicting and improving the chemotherapeutic outcome of the oral fluoropyrimidine capecitabine (5'-DFUR or Xeloda), in the treatment of human head and neck squamous cell carcinoma (HNSCC)."
False,blockade reninangiotensin aldosterone system proven effective retarding progression renal disease remnant kidney model well experimental diseases importantly range progressive human renal diseasesnan,11709805,aldosterone,diseases,"Blockade of the renin-angiotensin-aldosterone system has proven effective in retarding progression of renal disease in the remnant kidney model, as well as other experimental diseases, and, most importantly, in a range of progressive human renal diseases. Attention has focused on the role of angiotensin II (Ang II) in propagating progression both by its hemodynamic and nonhemodynamic actions. Recent evidence, predominately in the remnant kidney model, indicates that the drugs used to block this hormone system, angiotensin-converting enzyme inhibitors and angiotensin II receptor blockers, also lower aldosterone levels. Thus, aldosterone, as well as angiotensin II, appears to be instrumental in sustaining the hypertension and fibroproliferative destruction of the residual kidney."
True,low dose aspirin asa use associated wide range adverse side effects upper gastrointestinal gi tract range troublesome symptoms without mucosal lesions serious toxicity including ulcers gi bleeding perforation even deathnan,22542152,aspirin,ulcers,"Low dose aspirin (ASA) use has been associated with a wide range of adverse side effects in the upper gastrointestinal (GI) tract, which range from troublesome symptoms without mucosal lesions to more serious toxicity, including ulcers, GI bleeding, perforation and even death. Upper GI symptoms in low dose ASA users are common but often careless or misinterpreted and they are not always related to the presence of mucosal injury. Usually, low dose ASA related ulcers are reasonably small and asymptomatic, and probably heal over a period of weeks to a few months. But, the real clinical problem occurs when the ulcer results in a GI complication (mostly bleeding). The estimated average excess risk of symptomatic or complicated ulcer related to low dose ASA is five cases per 1000 ASA users per year. Death is the worst outcome of GI complications in low dose ASA users, but data about this aspect are scarce. Current evidence indicates that low dose ASA can damage the lower GI tract also, but the real size of the problem is still unknown."
True,steroids reported activate hypothalamic networks sexdifferentiated waynan,18056697,steroids,hypothalamic networks,"One working hypothesis behind transsexuality is that the normal sex differentiation of certain hypothalamic networks is altered. We tested this hypothesis by investigating the pattern of cerebral activation in 12 nonhomosexual male-to-female transsexuals (MFTRs) when smelling 4,16-androstadien-3-one (AND) and estra-1,3,5(10),16-tetraen-3-ol (EST). These steroids are reported to activate the hypothalamic networks in a sex-differentiated way. Like in female controls the hypothalamus in MFTRs activated with AND, whereas smelling of EST engaged the amygdala and piriform cortex. Male controls, on the other hand, activated the hypothalamus with EST. However, when restricting the volume of interest to the hypothalamus activation was detected in MFTR also with EST, and explorative conjunctional analysis revealed that MFTR shared a hypothalamic cluster with women when smelling AND, and with men when smelling EST. Because the EST effect was limited, MFTR differed significantly only from male controls, and only for EST-AIR and EST-AND. These data suggest a pattern of activation away from the biological sex, occupying an intermediate position with predominantly female-like features. Because our MFTRs were nonhomosexual, the results are unlikely to be an effect of sexual practice. Instead, the data implicate that transsexuality may be associated with sex-atypical physiological responses in specific hypothalamic circuits, possibly as a consequence of a variant neuronal differentiation."
False,effects urinary albumin excretion renal function changes delapril manidipine normotensive type diabetic patients microalbuminurianan,11336083,manidipine,diabetic,"This study was designed to investigate the effect of delapril, an ACE inhibitor, and manidipine, a long action calcium antagonist, on persistent microalbuminuria in normotensive type 2 diabetic patients. Sixty type 2 diabetic patients were randomized to take delapril 30 mg/day or manidipine 10 mg/day for 48 weeks, in an open label design. Twenty eight of thirty subjects in the delapril group and twenty nine of thirty in the manidipine group completed the study. Urine albumin excretion as measured by the urinary albumin creatinine ratio decreased significantly in both groups (112.0+/-60.9 to 95.3+/-64.9 mg/g and 108.5+/-51.0 to 96.4+/-53.5 mg/g in the delapril and manidipine group respectively, p < 0.05, by paired t-test). Systolic and diastolic blood pressure were not significantly changed after treatment in the delapril group but significantly decreased in the manidipine group (130.9+/-7.1/80.2+/-6.1 to 127.2+/-7.1/78.0+/-5.3 mm/Hg, p < 0.05, by student's paired t-test). After 48 weeks of treatment, two patients in the delapril group and one patient in the manidipine group converted to normoalbuminuria (urinary albumin:creatinine ratio < 30 mg/g) and one patient in each group progressed to overt nephropathy (urinary albumin:creatinine ratio > 300 mg/g). There were no significant changes in fasting plasma glucose, HbA1c, serum fructosamine, creatinine, potassium and lipid profiles after 48 weeks of treatment in both groups. Two cases in the delapril group were withdrawn during the study because of an intolerable cough and one case in the manidipine group because of intolerable dizziness and headache. In conclusion, both delapril and manidipine are effective in the reduction of microalbuminuria in normotensive type 2 diabetic patients with persistent microalbuminuria."
False,inhibitors activity ethanol 4-methylpyrazole isoniazid caused decrease methylation cellular macromolecules also completely protected cells ndmamediated toxicity nan,9498284,4-methylpyrazole,toxicity,"GM0637, a human fibroblast cell line, was transfected with pCMV2E1, an expression vector containing the full length cDNA for rat cytochrome P450 2E1 (P450 2E1), and with pCMVneo, which contained vector alone, and the selected clones were designated GM2E1 and GMneo, respectively. Western blot analysis showed that GM2E1, but not GMneo, expressed a protein that reacted with anti-human P450 2E1 antibody. The 7-ethoxycoumarin O-deethylase,p-nitrophenol hydroxylase, and N-nitrosodimethylamine (NDMA) demethylase activities of the P450 in these cells were measured in monolayer cell cultures without preparing microsomes. Exposure of the GM2E1 cells to NDMA for 4 days caused severe decreases in cell viability, as determined by crystal violet uptake, and showed a sigmoidal dose-response curve with a median lethal dose of 17 microM. In contrast, the viability of GMneo cells was not altered by NDMA even at concentrations up to 10 mM. Time- and concentration-dependent methylation of DNA, RNA and protein by [14C]NDMA was only observed in cells expressing P450 2E1. Inhibitors of P450 2E1 activity such as ethanol, 4-methylpyrazole, and isoniazid caused a 90% decrease in the methylation of cellular macromolecules and also completely protected the cells against NDMA-mediated toxicity. The cytotoxicity due to exposure to NDMA was partially inhibited by antioxidants such as N-acetylcysteine, ascorbic acid, butylated hydroxyanisole and N-t-butyl-alpha-phenylnitrone but was not potentiated upon glutathione depletion. These results document the ability of rat P450 2E1 to metabolize NDMA to toxic reactive intermediates and demonstrate that this cell line provides a useful model for studying the mechanisms of metabolism-mediated toxicity and carcinogenesis."
