verify_relationship,chemical_name,disease_name,pmid,relationship_info
no_relation,paroxetine,chronic pain,8766220,drug initiated association paroxetine dosulepine hydrochloride tetraparetic patient chronic pain patient chronic pain given paroxetine sentence say paroxetine caused pain
yes_direct,cisplatin,acute renal injury,20510337,nephroprotective effect coenzyme investigated mice acute renal injury induced single ip injection cisplatin mgkgacute renal injury induced cisplatin injection
yes_direct,piperacillin,Ototoxicity,3535719,ototoxicity occurred four  netilmicin piperacillin  tobramycin piperacillin treated patientspatients receiving piperacillin developed ototoxicity
no_relation,PPA,hypertensive,6695415,results suggest ppa caffeine lead cerebral hemorrhage previously hypertensive animals administered greater allowed dosagepreviously implies animals already hypertension given ppa
no_relation,amphotericin B,hypokalemia,11868798,spironolactone novel drug prevention amphotericin related hypokalemia cancer patientsnan
no_relation,benzylacyclouridine/BAU,leukopenia,2257294,clinical toxicities associated chronic urd administration ability benzylacyclouridine bau effect vivo aztinduced anemia leukopenia assessedleukopenia caused aztassessed could mean reached conclution either way
yes_direct,BHA,squamous cell papilloma,3131282,groups given bha although marked hyperplastic changes forestomach epithelium observed animals coadministration ra significantly less increased incidence forestomach tumors squamous cell papilloma carcinoma  rats carcinoma  one rat carcinoma group given rafree watergiving bha together ra caused squamous cell papillomas remember chemical works combination chemicals correct choice chemical cause disease
no_relation,TPP,Wernicke's encephalopathy,3762968,found abovementioned patient one diabetic kindreds history wernickes encephalopathy abnormal transketolase determined km tpp nan
no_relation,diltiazem,overdose,12101159,considered early cases cardiac arrest diltiazem overdose overdose drug diltiazem
yes_direct,Reserpine,tremor,11999899,reserpine also produced tremor catalepsy signs suggestive parkinson's diseasenan
no_relation,PREGS,amnesia,11860495,memoryenhancing effects pregs analogs tested passive avoidance task using model scopolamineinduced amnesia amnesia caused scopolamine
no_relation,benztropine,parkinsonism,33969,week controlled study ethopropazine compared benztropine treatment parkinsonism induced fluphenazine enanthate schizophrenic outpatientsbenztropine studied treatment parkinsonism
no_relation,epsilon-aminocaproic acid,cerebral sinus thrombosis,2339463,although increased risk thromboembolic disease reported treatment epsilonaminocaproic acid cerebral sinus thrombosis previously describedsentence says known cases epsilonaminocaproic acid causing cerebral sinus thrombosis existed although might want say sentence reporting first case relation epsilonaminocaproic acid cerebral sinus thrombosis explicit
no_relation,piperacillin sodium,infections,3535719,prospectively compared efficacy safety netilmicin sulfate tobramycin sulfate conjunction piperacillin sodium immunocompromised patients presumed severe infections text seems say piperacillin sodium tested treatment
yes_direct,ADR/adriamycin,cardiovascular toxicity,9952311,use adriamycin adr cancer chemotherapy limited due cumulative cardiovascular toxicity nan
yes_direct,sulindac,renal papillary necrosis/RPN,6699841,yearold man rheumatoid arthritis previously treated sulindac fenoprofen calcium high dose salicylates gold salts developed renal papillary necrosis rpn  months institution naproxen therapypatient developed renal papillary necrosis starting naproxen therapy sentence says man previously treated sulindac implies sulindac taken time naproxen
yes_direct,pilocarpine,seizures,9121607,steroids hydroxy group alphaposition alpha betaconfigurations highly effective protecting pilocarpine mgkg scinduced limbic motor seizures status epilepticus ed values mgkg ipnan
no_relation,paracetamol,viral hepatitis,7007443,acid protease cathepsin activity increased tenfold patients died nearly fourfold survived fulminant hepatic failure paracetamol overdose whereas activities increased equally patients fulminant hepatic failure due viral hepatitis whether survivedparacetamol overdose causes fulminant hepatic liver failure text say caused viral hepatitis
no_relation,NMDA/N-methyl-D-aspartate,schizophrenia,20727411,glutamatergic n-methyl-d-aspartate nmda receptor implicated pathophysiology schizophrenia nmda receptor involved schizophrenia chemical nmda
no_relation,D-penicillamine,primary biliary cirrhosis,8268147,case polymyositis patient primary biliary cirrhosis treated d-penicillamine d-penicillamine seems used treat primary biliary cirrhosis
yes_direct,puromycin aminonucleoside/PAN,Acute experimental models of renal damage,3653576,acute experimental models renal damage proximal tubular glomerular papillary regions rat produced administration hexachlorobutadiene hcbd puromycin aminonucleoside pan bromoethylamine bea respectivelythree chemicals produced acute experimental models renal damage
yes_direct,Tacrine,seizures,19944736,tacrine administered licl pretreated rats induces electrocorticographic seizures delayed hippocampal damagenan
no_relation,sirolimus,psoriasis,10328196,activated peripheral blood cells patients psoriasis tended exhibit greater spontaneous dexamethasoneinduced apoptosis normal cells particularly presence sirolimus sirolimus made cells undergo apoptosis cell death faster sirolimus stated caused psoriasis
no_relation,everolimus,MDS/myelodysplastic syndrome,19135948,report combination everolimus tacrolimus patients median age years either myelodysplastic syndrome mds  acute myeloid leukemia aml  undergoing intensive conditioning followed hsct related  unrelated  donorseverolimus used patients myelodysplastic syndrome text say everolimus caused mds
yes_direct,succinylcholine,myalgia,12760988,conclusion evidence inflammatory origin succinylcholine associated myalgia sentence says evidence inflammatory origin myalgia caused succinylcholine mean succinylcholine cannot cause myalgia
no_relation,angiotensin,NS/nephrotic syndrome,9154656,plasma concentration urine excretion renin angiotensin system proteins altered rats nephrotic syndrome ns reninangiotensin system protein levels different rats nephrotic syndrome
no_relation,naloxazone,hypothermia,6308526,pretreatment naloxazone significantly blocked morphine analgesia catalepsy hypothermia dose completely eliminated highaffinity binding brain membranesnaloxazone made hypothermia better
no_relation,benzoylecgonine,EDDs,8988571,edds concentrations cocaine benzoylecgonine autopsy blood similar controlsnan
no_relation,Tiopronin,RA,3084782,compared healthy controls lower dr frequency observed patients ra except tiopronin related nephritis groupnan
no_relation,lithium,tricuspid regurgitation,6794356,newborn massive tricuspid regurgitation atrial flutter congestive heart failure high serum lithium level describedalthough newborn tricuspid regurgitation high blood lithium levels sentence say lithium caused tricuspid regurgitation
yes_direct,azelastine,altered taste perception,3057041,drowsiness altered taste perception increased significantly placebo highdose azelastine groupazelastine caused drowsiness altered taste perception whereas placebo chemical given
yes_direct,propranolol,Raynaud's phenomenon,6115999,adverse reactions significantly linked active drugs include impaired glucose tolerance men women gout men associated bendrofluazide treatment raynauds phenomenon dyspnoea men women taking propranolol raynauds phenomenon given example adverse reaction linked drugs case propranolol
yes_direct,adrenaline,bradycardia,2894433,intravenous pretreatment rats diazepam although causing change adrenaline induced pressor effect enhance adrenaline induced reflex bradycardia nan
no_relation,alcohol,alcohol abuse,11573852,patient history alcohol abuse alcohol intake well withdrawal also cause seizuresalcohol mentioned something might cause seizures sentence say alcohol causes alcohol abuse
yes_direct,venlafaxine,Serotonin syndrome,8888541,serotonin syndrome venlafaxine tranylcypromine interactionnan
no_relation,thiol,lung cancer,6402369,protective effect oral administration thiol compound sodium mercaptoethane sulphonate mesna urothelial toxicity induced ifosfamide tested group patients inoperable lung cancer treatment mgm days part polychemotherapy regimen repeated week cyclesubject sentence sodium mercaptoethane sulphonate thiol
no_relation,heparin,thromboembolism,11827497,measurements platelet counts onset objectively determined thromboembolism results heparin induced platelet factor antibody tests outcomessentence lists things measured
no_relation,L-dihydroxyphenylalanine,neurotoxicity,20533999,show recently reported ability l-dihydroxyphenylalanine reverse protective effect alphamethylparatyrosine methinduced da neurotoxicity also confounded drug effects body temperatureneurotoxicity induced meth
yes_direct,azithromycin,hiccups,15985056,possible azithromycin associated hiccups sentence suggests azithromycin likely causes hiccups use possible
no_relation,MPTP,Parkinson's disease,20973483,compound potent aaa receptor antagonist vitro aa ki  nm ki  nm excellent activity oral administration across number animal models parkinson's disease including mouse rat models haloperidolinduced catalepsy mouse model reserpineinduced akinesia rat hydroxydopamine ohda lesion model druginduced rotation mptp treated nonhuman primate modelnan
no_relation,bupropion,sleep deprivation,12745515,case report describes generalized seizure associated sustainedrelease bupropion use sleep deprivation sentence says bupropion causes seizure sleep deprivation causes seizure say bupropion causes sleep deprivation
yes_direct,epipodophyllotoxin,cardiac toxicity,15897593,purpose anthracyclines daunorubicin doxorubicin epipodophyllotoxin etoposide potent dna cleavageenhancing drugs widely used clinical oncology however myelosuppression cardiac toxicity limit usechemical etoposide kind epipodophyllotoxin sentence says etoposide causes cardiac toxicity sentence say epipodophyllotoxins cause cardiac toxicity
yes_direct,caffeine,ventricular arrhythmias,18997632,although intravenous caffeine generally well tolerated clinician aware potential unpredictable serious ventricular arrhythmias serious ventricular arrhythmias result taking caffeine
yes_direct,metoprolol,heart block,7785794,seventyeightyearold woman presented complete heart block refractory hypotension two days therapeutic dose sustainedrelease verapamil concomitant use metoprolol woman developed heart block taking two chemicals together verapamil metoprolol
yes_direct,doxorubicin,cardiac failure,3137399,one patients developed cardiac failure mg mmc mg doxorubicin nan
no_relation,fenoldopam,tumor,12180796,arteritis induced rats vasodilators fenoldopam theophylline examined immunohistochemically expressions inducible type nitric oxide synthase inos basic fibroblast growth factor bfgf tumor growth factorbeta tgfbetarats given fenoldopam examined kind protein tumor growth factorbeta word tumor used refer disease rather part name protein tumor growth factorbeta
yes_direct,etoposide,cardiac toxicity,15897593,purpose anthracyclines daunorubicin doxorubicin epipodophyllotoxin etoposide potent dna cleavageenhancing drugs widely used clinical oncology however myelosuppression cardiac toxicity limit usenan
yes_direct,midazolam,hiccups,15985056,corticosteroids dexamethasone methylprednisolone benzodiazepines midazolam general anaesthesia specific agents mentioned frequently literature associated development hiccups benzodiazepines category chemicals midazolam mentioned specific example benzodiazepine known cause hiccups
yes_direct,methylprednisolone,asystole,10074612,report case hypotension bradycardia asystole intravenous administration highdose methylprednisolone yearold patient underwent electrocardiographic ecg monitoring throughout episodemethylprednisolone caused three different diseases patient
no_relation,etomidate,myoclonus,16563323,remifentanil pretreatment reduces myoclonus etomidate remifentanil makes myoclonus caused etomidate better
yes_direct,CLZ,headache,7596955,seven subjects experienced headache short duration accompanying facial flush one nausea one especially ingestion clz eating clz caused headaches  patients
yes_direct,ropivacaine,seizures,11524350,cumulative doses levobupivacaine ropivacaine produced seizures similar larger bupivacainenan
no_relation,testosterone,hyperprolactinemia,20331935,serum testosterone concentration increased pubertal status affected hyperprolactinemia nan
no_relation,choline,AD/Alzheimer's disease,16428827,choline acetyltransferase chat activator enhances cholinergic transmission via augmentation enzymatic production acetylcholine ach important factor treatment alzheimers disease ad choline acetyltransferase activator protein choline important treating alzheimers disease
yes_direct,oestrogen,gallbladder disease,19370593,longterm oestrogen ht significantly increased risk venous thromboembolism stroke gallbladder disease one two years three years seven years use respectively significantly increase risk breast canceroestrogen increased risk gallbladder disease
yes_direct,chloroquine,deterioration of vision,1628552,year old african woman history regular chloroquine ingestion presented progressive deterioration vision easy fatiguability dyspnoea dizziness progressing syncopal attacksnan
no_relation,tamoxifen,breast cancer,9672273,interpretation although preliminary analysis low power cohort women lowtonormal risk breast cancer postulated protective effects tamoxifen yet apparenttamoxifens protective beneficial effects breast cancer yet clear according sentence
no_relation,potassium,hypokalemia,6942642,conclusion found thiazide diuretics cause hypokalemia depletion body potassium hypokalemia caused thiazide diuretics
yes_direct,eserine,mydriasis,6892185,effect calcium chloride injected cerebral ventricles grouphoused unanaesthetized cats upon vocalization rage hissing snarling fighting attack paws claws defense paws claws biting mydriasis tremor clonictonic convulsions produced carbachol eserine injected similarly investigatednannan
no_relation,rifampin,tuberculosis,804391,light chain proteinuria cellular mediated immunity rifampin treated patients tuberculosis rifampin given patients tuberculosis sentence say rifampin caused tuberculosis
no_relation,glycopyrronium,bradycardias,2917114,use glycopyrronium micrograms kg provided greater cardiovascular stability given min edrophonium sufficient minimize early edrophoniuminduced bradycardias glycopyrronium beneficial effect bradycardias
no_relation,clonazepam,myoclonic jerks,6118280,benzodiazepines clonazepam mgkg found several fold potent diazepam mgkg blocking myoclonic jerks clonazepam blocked myoclonic jerks
yes_direct,doxorubicin,cardiomyopathy,7282516,doseeffect structurefunction relationships doxorubicin cardiomyopathy doseeffect structurefunction relationships refer doxorubicin cardiomyopathy therefore conclude different doses doxorubicin different effects cardiomyopathy therefore doxorubicin causes cardiomyopathy
yes_direct,clozapine,tic-like symptoms,16225977,however two case reports show ticlike symptoms including motor phonic variants occurring treatment quetiapine clozapine two reports showed ticlike symptoms arose clozapine treatment
no_relation,SC-48334,immunodeficiency,7905523,mean sc-48334 steadystate trough level  microgramsml vitro inhibitory concentration human immunodeficiency virus hivsc-48334 concentration high enough inhibit human immunodeficiency virus immunodeficiency discussed disease part human immunodeficiency virus
yes_direct,pemoline,overdose,9022662,possibility choreoathetoid movements considered patients presenting pemoline overdose nan
yes_direct,Quinidine phenylethylbarbiturate,hepatitis,3411101,quinidine phenylethylbarbiturate induced fulminant hepatitis pregnant woman case reportinduced means caused
no_relation,ATP,obese,18674790,conclusion hfdinduced obese rats highly sensitized doxorubicininduced cardiotoxicity substantially downregulating cardiac mitochondrial atp generation increasing oxidative stress downregulating jakstat pathwaynan
yes_direct,paroxetine,neuroleptic malignant syndrome,16720068,possible neuroleptic malignant syndrome related concomitant treatment paroxetine alprazolamsentence says treatment paroxetine alprazolam possibly causes neuroleptic malignant syndrome
no_relation,Cyclophosphamide,visceral pain,10840460,cyclophosphamide induced cystitis freelymoving conscious rats behavioral approach new model visceral pain nan
no_relation,gamma-aminobutyric acid/GABA,hypotension,9915601,high doses isoniazid increase hypotension induced vasodilators change accompanying reflex tachycardia bradycardia interaction attributed decreased synthesis brain gammaaminobutyric acid gaba hypotension caused vasodilators chemicals make blood vessels wider made worse chemical isoniazid
yes_direct,beta-adrenergic blocking drugs,bradycardia,6127992,three patients ischaemic heart disease developed profound cardiac failure hypotension bradycardia combined therapy verapamil betaadrenergic blocking drugs nan
no_relation,oxacillin,Staphylococcus aureus bacteremia,11337188,yearold man treated oxacillin one week staphylococcus aureus bacteremia developed renal failure diffuse symmetric palpable purpuric lesions feetoxacillin used treat staphylococcus aureus bacteremia
yes_direct,gold,dermatitis,3084782,strong association found nephritis dermatitis due tiopronin dpenicillamine like compound class antigens bcw dermatitis due gold thiosulphategold part gold thiosulphate different chemical gold dermatitis caused gold thiosulphate goldgold thiosulphate though gold right still
no_relation,Li,EPS,17042884,similarly eps related adverse events qtp li dvp different pbo li dvp eps related events different chemical qtp given pbo given sentence contain enough information say lithium li causes eps related adverse events
yes_direct,reserpine,tremor,11999899,pretreatment reserpine mgkg observation test produced increases vacuous chewing movements tongue protrusion well increases tremor catalepsy whereas mk-801 mgkg injection min test reversed effects reserpine giving reserpine hours prior caused tremor
no_relation,Vitamin E,MI,16584858,heart tissue antioxidant enzymes superoxide dismutase catalase glutathione peroxidase glutathione transferase glutathione reductase activities nonenzymic antioxidants cerruloplasmin vitamin vitamin glutathione levels altered mi ratsvitamin levels changed mi rats
no_relation,gentamicin,tubular necrosis,2709684,group ii prevent gentamicin arf maximal decrease ccr day less peak lysozymuria  microgramsday tubular necrosis score  tubular necrosis score measurement used quantify whether prevented gentamicinarf text never says gentamicin related tubular necrosis
yes_direct,TP,prostate cancer,3461217,lw rats tp acted tumor enhancement agent primary emphasis development prostate cancer tp enhances tumors especially development prostate cancer therefore conclude tp cause prostate cancer
yes_direct,phenytoin,psychosis,14698717,case nonepileptic patient developed psychosis following phenytoin treatment trigeminal neuralgia describedpatient developed psychosis receiving phenytoin
no_relation,azathioprine,cancers,3970039,several longterm studies patients rheumatoid arthritis treated azathioprine cyclophosphamide incidence common cancers increasedazathioprine effect cancer prevalence patients
no_relation,propranolol,panic disorders,6387529,effects oral doses diazepam single dose mg median dose mgday weeks propranolol single dose mg median dose mgday weeks psychological performance patients panic disorders agoraphobia investigated doubleblind randomized crossover designsentence says effects diazepam propranolol patients investigated sentence state effect
yes_direct,adrenaline,atrial fibrillation,9698967,increase blood pressure accompanied atrial fibrillation agitation incomprehensible shouts loss consciousness observed elderly asa classification group ii cardiovascularly medicated male min performance axillary block mepivacaine mg containing adrenaline mg correction dupuytrens contracturegiving mepivacaine adrenaline together caused male patient experience atrial fibrillation
yes_direct,ketoconazole,hypertension,2632720,cases normal plasma urinary free cortisol levels achieved following ketoconazole therapy yet continuous blood pressure monitoring demonstrated hypertension patient  weeks patient treatmentlongterm patient monitoring showed patients hypertension receiving ketoconazole therapy
no_relation,cisplatin,toxicity,8643971,initiated phase iii trial determine response toxicity escalating paclitaxel doses combined fixeddose cisplatin granulocyte colonystimulating factor support patients untreated locally advanced inoperable head neck carcinomasentence says response toxicity paclitaxel cisplatin studied say result
no_relation,na,Seizure,12198388,methods cholinergic convulsant sensitivity examined alcohol na withdrawal seizure prone wsp andresistant wsr micena represent chemical context seems error alcoholna since word
yes_direct,tobramycin sulfate,ototoxicity,7420681,gentamicin sulfate tobramycin sulfate continue demonstrate ototoxicity nephrotoxicity animal clinical studiestobramycin sulfate causes ototoxicity animals humans
no_relation,Verapamil,hypertensive,3173179,verapamil withdrawal possible cause myocardial infarction hypertensive woman normal coronary angiogramverapamil used woman hypertension sentence say verapamil causes hypertension
yes_direct,caffeine,ventricular fibrillation,11419773,describe yearold woman preexisting mitral valve prolapse developed intractable ventricular fibrillation consuming natural energy guarana health drink containing high concentration caffeine developed ventricular fibrillation consuming health drink containing caffeine
yes_direct,acetaminophen,ESRD,8669433,possibility habitual use acetaminophen alone increases risk esrd clearly demonstrated cannot dismissedsentence says known whether acetaminophen causes esrd also impossible therefore know whether acetaminophen causes esrd therefore answer sentence say acetaminophen contributes causes esrd
yes_indirect,pilocarpine,Infarcts in substantia nigra pars reticulata,8410052,infarcts substantia nigra pars reticulata evoked prolonged pilocarpine induced status epilepticussentence follows structure chemicalinduced disease causes highlighted disease status epilepticus actually causing infarcts substantia nigra pars reticulata
no_relation,aminophylline,respiratory failure,234669,effects aminophylline ventricular fibrillation threshold normal acidbase conditions respiratory failure studied anesthetized open chest dogssentence says effects studied say effects
no_relation,4'-0-tetrahydropyranyladriamycin/Pirarubicin,tumors,2224762,phase study intravenous iv bolus tetrahydropyranyladriamycin pirarubicin done patients good performance status refractory tumors study pirarubicin done patients existing tumors stated link pirarubicin tumors
yes_direct,lopinavir/ritonavir,bradycardia,19820426,one twins developed complete heart block dilated cardiomyopathy related lopinavir/ritonavir therapy boosted proteaseinhibitor agent twin developed mild bradycardia second twin developed bradycardia result lopinavirritonavir
no_relation,prochlorperazine,akathisia,11679859,intravenous administration prochlorperazine minute infusion versus minute bolus affect incidence akathisia prospective randomized controlled trialprochlorperazine effect akathisia
yes_direct,Fentanyl,bradycardia,18544179,fentanyl reduce minor intraoperative movement sevofluranesparing effect increased respiratory depression hypotension bradycardia fentanyl increased bradycardia
no_relation,cocaine,glomerulonephritis,11391224, included cases malignant hypertension thrombotic microangiopathy lupus nephritis henochschonlein nephritis crescentic glomerulonephritis cocaine related acute renal failurecocaine causing acute renal failure glomerulonephritis
no_relation,CGRP,migraine,14659530,plasma cgrp concentration increased significantly migraine attack returned baseline cessation migraine cgrp part plasma cgrp concentration migraine seemed cause increase cgrp levels way around
yes_direct,telithromycin,toxic hepatitis/hepatitis,17919553,based score naranjo adverse drug reaction probability scale telithromycin probable cause acute hepatitis patient pathological findings suggested druginduced toxic hepatitis telithromycin likely cause hepatitis patient
no_relation,bradykinin,hypertension,8955532,role activation bradykinin receptors disruption bloodbrain barrier acute hypertension bradykinin part bradykinin receptors activated receptors disrupting bloodbrain barrier somehow
yes_direct,suxamethonium,bradycardia,6466532,comparison iv glycopyrrolate atropine prevention bradycardia arrhythmias following repeated doses suxamethonium childrensuxamethonium causes bradycardia sentence says two chemicals glycopyrrolate atropine used try prevent bradycardia
no_relation,fangchinoline,thrombosis,10193204,effects tetrandrine fangchinoline experimental thrombosis mice human platelet aggregationsentence fragment explicitly say negative effects fangchinoline exist rather effects tested
yes_direct,bisphosphonate,acute renal failure,18754075,massive proteinuria acute renal failure oral bisphosphonate alendronate administration patient focal segmental glomerulosclerosispatient developed acute renal failure taking bisphosphonate
yes_direct,acetaminophen,chronic renal failure/ESRD,8669433,however three case control studies one north carolina northern maryland west berlin germany showed habitual use acetaminophen also associated chronic renal failure esrd relative risk range habitual use acetaminophen causes chronic renal failure
no_relation,NO,neuropathic pain,19300402,therefore concomitant administration small doses bradykinin receptor antagonists synthase inhibitors effective alleviation neuropathic pain even hospital caresentence says small doses synthase inhibitors category chemicals removes neuropathic pain
no_relation,cyclophosphamide,hypertension,15325671,analysis performed women chemotherapyresponsive metastatic breast cancer receiving infusional cyclophosphamide part triple sequential highdose regimen assess association presence peritransplant congestive heart failure chf following pretreatment characteristics presence electrocardiogram ekg abnormalities age hypertension prior cardiac history smoking diabetes mellitus prior use anthracyclines leftsided chest irradiationanalysis done see congestive heart failure anything pretreatment characteristics including hypertension sentence never says conclusions analysis whether cyclophosphamide causes hypertension
no_relation,maltolyl p-coumarate,neuronal death,17600377,taking vitro vivo results together study suggests maltolyl pcoumarate potentially effective candidate alzheimers disease characterized wide spread neuronal death progressive decline cognitive functionmaltolyl pcoumarate treating alzheimers disease causing one symptoms neuronal death alzheimers disease
yes_direct,acetylcholine,tremors,15275829,binding nicotine nicotinic acetylcholine receptors nachrs elicits series dosedependent behaviors go altered exploration sedation tremors seizures deathacetylcholine part nicotinic acetylcholine receptors nicotine binding receptors causes tremors acetylcholinenicotinic acetylcholine receptors acetylcholine
no_relation,na,HBV infected/HBV mono-infected,17854040,thirtyfive lamivudine na hbv infected patients without hiv coinfection studied chronic hbv monoinfected patients hbvhiv coinfected patientsna used chemical context word seems missing letter na
yes_direct,epinephrine/EP,thrombosis,10193204,present study undertaken investigate effects tet fan experimental thrombosis induced collagen plus epinephrine ep mice platelet aggregation blood coagulation vitrothrombosis induced caused collagen epinephrine
no_relation,hydrocortisone,myocardial injury,983936,effects acetylsalicylic acid dipyridamole hydrocortisone epinephrineinduced myocardial injury dogsmyocardial injury caused epinephrine know effect hydrocortisone myocardial injury
no_relation,cholesterol,cognitive dysfunctions,16755009,therefore dce may prove useful remedy management cognitive dysfunctions account multifarious beneficial effects memory improving property cholesterol lowering property anticholinesterase activitysentence lists beneficial effects dce cholesterol lowering property sentence say cholesterol causes cognitive dysfunctions
no_relation,sodium,volume retention,18768591,doxorubicininduced nephropathy leads epithelial sodium channel enacdependent volume retention renal fibrosissentence says nephropathy caused doxorubicin leads volume retention dependent epithelial sodium channels kind protein say sodium causes volume retention
yes_indirect,cisplatin,mitochondrial toxicity,18809400,conclusion mitochondrial toxicity early common event paclitaxel cisplatin induced neurotoxicitysentence follows chemicalinduced disease causes highlighted disease structure therefore correct answer cisplatininduced neurotoxicity causes mitochondrial toxicity
no_relation,morphine,acute pain,18221780,enhancement morphine antinociception dextromethorphan seen males females acute pain models magnitude effect greater maleseffect enhanced dextromethorphan model acute pain sentence say morphine causes acute pain fun fact morphine actually strong painkiller similar opium heroin
no_relation,NMDA,acute pain,18221780,findings demonstrate sexuallydimorphic interaction nmda antagonists morphine persistent pain model distinguished observed acute pain modelsnmda antagonists interacting morphine study done acute pain model sentence say nmda causes acute pain
yes_direct,alcohol,flushing of the face,19657887,less hour ingestion alcohol developed malaise flushing face tachycardia dyspneaingesting alcohol causes face flush already knew
no_relation,dopamine,bradycardia,10721819,suggest normal conscious rats central tachycardia bromocriptine appears predominate mask bradycardia agonist peripheral dopamine receptorsdopamine part dopamine receptors kind protein
no_relation,haloperidol,psychomotor agitation,9812111,results patients completed phase standarddose haloperidol efficacious superior lowdose haloperidol placebo scores brief psychiatric rating scale psychosis factor psychomotor agitation haloperidol seemed positive effect psychomotor agitation
no_relation,fentanyl,postoperative pain,18544179,conclusion fentanyl exacerbated postoperative nausea vomiting without improvement postoperative pain also adverse cardiorespiratory effects appears unnecessary possibly detrimental supplement sevoflurane day surgeryfentanyl made postoperative nausea vomiting worse improve postoperative pain sentence say fentanyl originally caused postoperative pain
