boolean_relationship,chemical_name,disease_name,all_info
False,thymidine,head and neck cancer,predictive therapeutic value thymidine phosphorylase dihydropyrimidine dehydrogenase capecitabine xelodabased chemotherapy head neck cancer nanevaluate whether two molecular biomarkers thymidine phosphorylase tp dihydropyrimidine dehydrogenase dpd could clinically useful predicting improving chemotherapeutic outcome oral fluoropyrimidine capecitabine dfur xeloda treatment human head neck squamous cell carcinoma hnscc
False,aldosterone,diseases,blockade reninangiotensin aldosterone system proven effective retarding progression renal disease remnant kidney model well experimental diseases importantly range progressive human renal diseasesnanblockade reninangiotensinaldosterone system proven effective retarding progression renal disease remnant kidney model well experimental diseases importantly range progressive human renal diseases attention focused role angiotensin ii ang ii propagating progression hemodynamic nonhemodynamic actions recent evidence predominately remnant kidney model indicates drugs used block hormone system angiotensinconverting enzyme inhibitors angiotensin ii receptor blockers also lower aldosterone levels thus aldosterone well angiotensin ii appears instrumental sustaining hypertension fibroproliferative destruction residual kidney
True,aspirin,ulcers,low dose aspirin asa use associated wide range adverse side effects upper gastrointestinal gi tract range troublesome symptoms without mucosal lesions serious toxicity including ulcers gi bleeding perforation even deathnanlow dose aspirin asa use associated wide range adverse side effects upper gastrointestinal gi tract range troublesome symptoms without mucosal lesions serious toxicity including ulcers gi bleeding perforation even death upper gi symptoms low dose asa users common often careless misinterpreted always related presence mucosal injury usually low dose asa related ulcers reasonably small asymptomatic probably heal period weeks months real clinical problem occurs ulcer results gi complication mostly bleeding estimated average excess risk symptomatic complicated ulcer related low dose asa five cases per asa users per year death worst outcome gi complications low dose asa users data aspect scarce current evidence indicates low dose asa damage lower gi tract also real size problem still unknown
True,steroids,hypothalamic networks,steroids reported activate hypothalamic networks sexdifferentiated waynanone working hypothesis behind transsexuality normal sex differentiation certain hypothalamic networks altered tested hypothesis investigating pattern cerebral activation nonhomosexual maletofemale transsexuals mftrs smelling androstadienone estratetraenol est steroids reported activate hypothalamic networks sexdifferentiated way like female controls hypothalamus mftrs activated whereas smelling est engaged amygdala piriform cortex male controls hand activated hypothalamus est however restricting volume interest hypothalamus activation detected mftr also est explorative conjunctional analysis revealed mftr shared hypothalamic cluster women smelling men smelling est est effect limited mftr differed significantly male controls estair estand data suggest pattern activation away biological sex occupying intermediate position predominantly femalelike features mftrs nonhomosexual results unlikely effect sexual practice instead data implicate transsexuality may associated sexatypical physiological responses specific hypothalamic circuits possibly consequence variant neuronal differentiation
False,manidipine,diabetic,effects urinary albumin excretion renal function changes delapril manidipine normotensive type diabetic patients microalbuminuriananstudy designed investigate effect delapril ace inhibitor manidipine long action calcium antagonist persistent microalbuminuria normotensive type diabetic patients sixty type diabetic patients randomized take delapril mgday manidipine mgday weeks open label design twenty eight thirty subjects delapril group twenty nine thirty manidipine group completed study urine albumin excretion measured urinary albumin creatinine ratio decreased significantly groups  mgg  mgg delapril manidipine group respectively mgg significant changes fasting plasma glucose hbac serum fructosamine creatinine potassium lipid profiles weeks treatment groups two cases delapril group withdrawn study intolerable cough one case manidipine group intolerable dizziness headache conclusion delapril manidipine effective reduction microalbuminuria normotensive type diabetic patients persistent microalbuminuria
False,4-methylpyrazole,toxicity,inhibitors activity ethanol 4-methylpyrazole isoniazid caused decrease methylation cellular macromolecules also completely protected cells ndmamediated toxicity nangm human fibroblast cell line transfected pcmve expression vector containing full length cdna rat cytochrome pcmvneo contained vector alone selected clones designated gme gmneo respectively western blot analysis showed gme gmneo expressed protein reacted antihuman antibody ethoxycoumarin odeethylasepnitrophenol hydroxylase nnitrosodimethylamine ndma demethylase activities cells measured monolayer cell cultures without preparing microsomes exposure gme cells ndma days caused severe decreases cell viability determined crystal violet uptake showed sigmoidal doseresponse curve median lethal dose microm contrast viability gmneo cells altered ndma even concentrations mm time concentrationdependent methylation dna rna protein cndma observed cells expressing inhibitors activity ethanol methylpyrazole isoniazid caused decrease methylation cellular macromolecules also completely protected cells ndmamediated toxicity cytotoxicity due exposure ndma partially inhibited antioxidants nacetylcysteine ascorbic acid butylated hydroxyanisole ntbutylalphaphenylnitrone potentiated upon glutathione depletion results document ability rat metabolize ndma toxic reactive intermediates demonstrate cell line provides useful model studying mechanisms metabolismmediated toxicity carcinogenesis
True,Nicotine,nausea,nicotine wellknown unpleasant side effects eg transient dizziness nausea nicotine induced nystagmus ninnannicotine wellknown unpleasant side effects eg transient dizziness nausea nicotineinduced nystagmus nin investigate factors influencing effects addressed three questions intensity dizziness nausea nin unsteadiness dependent nicotine dosage intensity perceptual ocular motor vegetative effects postural imbalance correlate visual vestibular motion stimuli produce andor aggravate distressing dizziness nausea sixty healthy nonsmokers occasional smokers participated tested six times application nicotine nasal spray doses mg mg without motion stimulation received placebo nasal spray plasma nicotine concentrations significantly related nicotine dosage dizziness nausea nin unsteadiness also depended nicotine dosage
False,5-FU/5-fluorouracil,carcinoma,modulating effect recombinant human interferon alpha ifnalpha antitumor efficacy 5-fluorouracil 5-fu human carcinoma cell lines investigated vitro vivonanmodulating effect recombinant human interferon alpha ifnalpha antitumor efficacy 5-fluorouracil fu human carcinoma cell lines investigated vitro vivo fu fluorouridine fur fluorodeoxyuridine fudr tested cultured human colon tumor cells without ifnalpha vitro antitumor activity 5-fu enhanced addition ifnalpha ifnalpha increase effect fur fudr vivo antitumor activity 5-fu without ifnalpha assessed using co human colon carcinoma xenograft nude mice thymidylate synthetase inhibition concentration fur treated tumor tissues concomitantly measured synergistic effect 5-fu ifnalpha observed co nude mice vivo synergism obtained without increment thymidylate synthetase inhibition side effects terms death rate body weight loss intratumoral concentration fur significantly increased addition ifnalpha co tumor tissue treated fu results suggest mechanism combined effect 5-fu ifnalpha related enhancement thymidylate synthetase inhibition increase fur concentration target tumor tissue expected combination method clinically useful treatment advanced colorectal carcinoma
True,clozapine,myocarditis,prompted case clozapine related pericarditis adolescent undertook retrospective chart review discover whether unrecognized cases myocarditis pericarditis cardiomyopathy among children adolescents young adults treated clozapine nanclozapine known cause cardiac side effects including myocarditis pericarditis cardiomyopathy prompted case clozapinerelated pericarditis adolescent undertook retrospective chart review discover whether unrecognized cases myocarditis pericarditis cardiomyopathy among children adolescents young adults treated clozapine sample comprised total patients monitored regularly period ranging  months average observation period months patients assessed potential indicators myocarditis pericarditis cardiomyopathy patients least one several parameters potentially indicative pericarditis myocarditis cardiomyopathy abnormal least one instance observation period cases abnormalities discovered abnormalities found unspecific myocarditis pericarditis cardiomyopathy exception case prompted study none patients found developed disorder course treatment clozapine
True,erythromycin,hearing loss,reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycin nanreversible irreversible ototoxicity documented following administration various therapeutic agents reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycin report case reversible hearing loss following okt murine monoclonal antibody cd administration okt monoclonal antibody used immunosuppressant following cadaveric renal transplants associated transient sensorineural hearing loss reversed following discontinuation okt
False,Triiodothyronine,MDD,triiodothyronine augmentation ssris may promising treatment strategy ssriresistant mdd particularly subjects atypical mdd subtypenanopen trial investigated efficacy triiodothyronine adjuvant selective serotonin reuptake inhibitors ssris subjects major depressive disorder mdd resistant ssri treatment
True,carbachol,mydriasis,hand mydriasis tremor clonictonic convulsions evoked carbachol eserine significantly changed calcium chloridenaneffect calcium chloride injected cerebral ventricles grouphoused unanaesthetized cats upon vocalization rage hissing snarling fighting attack paws claws defense paws claws biting mydriasis tremor clonictonic convulsions produced carbachol eserine injected similarly investigated calcium chloride depressed almost completely abolished vocalization fighting due carbachol eserine hand mydriasis tremor clonictonic convulsions evoked carbachol eserine significantly changed calcium chloride apparent calcium chloride dissociate vocalization fighting autonomic motor phenomena mydriasis tremor clonictonic convulsions caused carbachol eserine calcium chloride inhibited vocalization fighting produced carbachol eserine probably nonspecific stabilizing action central muscarinic cholinoceptive sites results support view calcium ions excess atropinelike action also central nervous system
False,amoxycillin,typhoid fever, children bacteriologically andor serologically diagnosed typhoid fever treated kem hospital bombay initially one three recommended drugs viz chloramphenicol amoxycillin cotrimoxazole given days defervescence occurnan children bacteriologically andor serologically diagnosed typhoid fever treated kem hospital bombay initially one three recommended drugs viz chloramphenicol amoxycillin cotrimoxazole given days defervescence occur failed respond second trial therapy one two drugs initiated omitting first drug second failure therapy taken indication use ciprofloxacin singly eventually  cases responded chloramphenicol amoxycillin cotrimoxazole ciprofloxacin used cases failure rate treatment chloramphenicol amoxycillin cotrimoxazole  ciprofloxacin analysis cases revealed apart fever splenomegaly important clinical pointer diagnosis along absolute eosinopenia major complications except cases typhoid hepatitis responded choramphenicol cotrimoxazole respectively blood culture grew salmonella typhi cases  multidrug resistant typhi characteristic clinical features identify multidrug resistant typhoid fever
False,vancomycin,RP,vitro antistaphylococcal activity rp new streptogramin comparable vancomycin teicoplanin staphylococcus aureus rp active agent coagulasenegative staphylococcinanvitro antistaphylococcal activity rp new streptogramin comparable vancomycin teicoplanin staphylococcus aureus rp active agent coagulasenegative staphylococci staphylococcal strains inhibited micrograms rp per ml including multiply resistant strains broth microdilution agar dilution testing gave comparable results tests rp 
True,lactulose,Intestinal pseudoobstruction,intestinal pseudoobstruction ogilvies syndrome occurred patients placebo group patients lactulose group patients polyethylene glycol groupnanstudy whether lactulose polyethylene glycol effective promote defecation critically ill patients whether either two superior whether use enteral laxatives related clinical outcome
True,acetylcholine,spasm,spasm provocation test using acetylcholine performed carefully although considered safe reliable methodnanstudy sought clarify major complications associated acetylcholine testing serious major complications sustained ventricular tachycardia shock cardiac tamponade determined  patients cases death irreversible complications occurred spasm provocation test using acetylcholine performed carefully although considered safe reliable method
True,Tiopronin,nephritis,strong association found nephritis dermatitis due tiopronin dpenicillamine like compound class antigens bcw dermatitis due gold thiosulphatenantwentyfive patients rheumatoid arthritis ra developed toxicity taking remission inducing drugs without toxicity studied possible associations class ii hla antigens strong association found nephritis dermatitis due tiopronin dpenicillamine like compound class antigens bcw dermatitis due gold thiosulphate compared healthy controls lower dr frequency observed patients ra except tiopronin related nephritis group
True,Ecstasy,memory problems,depression memory problems anxiety mood fluctuation poor concentration infections tremorstwitches weight loss significantly associated extent ecstasy usenanrecreational use mdmaecstasy methylenedioxymethamphetamine associated many psychobiological problems paucity data relate level past use
False,aspirin,asthma,eight single nucleotide polymorphisms snps slca genotyped aspirin intolerant asthma aia aspirin tolerant asthma ata patients korean ethnicitynanaspirinintolerant asthma aia occurs asthma exacerbation exposure aspirin however underlying mechanisms aia occurrence still unclear critical role solute carrier family neurotransmitter transporter betainegaba member slca gene gabaergic transmission associated mucus production asthma makes candidate gene aia association study eight single nucleotide polymorphisms snps slca genotyped aspirinintolerant asthma aia aspirintolerant asthma ata patients korean ethnicity associations polymorphisms slca aia analysed using multivariate logistic analysis results showed two polymorphisms haplotype slca rs pcorr rs nonsynonymous cr pcorr slcablht pcorr respectively significantly associated aia multiple testing corrections addition snps slca significantly associated fall rate fev aspirin provocation suggesting slca could affect reversibility lung function abnormalities aia patients although results preliminary future replications needed confirm findings study showed evidence association variants slca aia occurrence among asthmatics korean population
False,aviptadil,lung disease,patients significant lung disease aviptadil tended improve oxygenationnanpulmonary hypertension ph leads increased right ventricular workload cardiac failure death idiopathic pulmonary arterial hypertension pah vasodilating vasoactive intestinal peptide aviptadil deficient aim present study test acute effects haemodynamics blood gases safety single dose inhaled aviptadil chronic ph total patients ph pah nine ph lung disease eight chronic thromboembolic ph three inhaled single microg dose aviptadil rightheart catheterisation haemodynamics blood gases measured aviptadil aerosol caused small temporary significant selective pulmonary vasodilation improved stroke volume mixed venous oxygen saturation overall six patients experienced pulmonary vascular resistance reduction  patients significant lung disease aviptadil tended improve oxygenation pulmonary vasodilating effect aviptadil aerosol modest shortlived cause sideeffects led reduced workload right ventricle without affecting systemic blood pressure aviptadil inhalation tended improve oxygenation patients significant lung disease studies needed evaluate full therapeutic potential aviptadil aerosol including higher doses chronic treatment
True,ritonavir,fracture,tenofovir particularly given ritonavir boosted protease inhibitor rpi reduces bone mineral density bmd increases bone turnover markers btms associated increased fracture risknantenofovir particularly given ritonavirboosted protease inhibitor rpi reduces bone mineral density bmd increases bone turnover markers btms associated increased fracture risk raltegravir associated bone loss
False,imiquimod,LM,reflectance confocal microscopy rcm noninvasive method validated monitoring treatment lm imiquimod nanused treatmentimiquimod used treating lentigo maligna lm selected cases surgery appropriate option functional aesthetic impairment reflectance confocal microscopy rcm noninvasive method validated monitoring treatment lm imiquimod
False,corticosteroids,thrombocytopenia,studies far patients shock syndrome possible effects corticosteroids thrombocytopenia bleeding well complications dengue unknownnandengue infection results significant morbidity mortality worldwide current recommended treatment largely supportive careful fluid replacement specific treatment available although corticosteroids mentioned guidelines management dengue clinicians use corticosteroids empirically based presumed immunological basis complications dengue evidence base benefit lack benefit corticosteroids dengue limited previous studies small methodological flaws less stringent randomisation unclear allocation concealment performed long time ago studies far patients shock syndrome possible effects corticosteroids thrombocytopenia bleeding well complications dengue unknown previous studies children effect corticosteroid treatment adults dengue infection evaluated possible beneficial effects corticosteroids various manifestations dengue infection need evaluation adequately powered well designed randomised controlled trials
False,docetaxel,breast cancer,predictive value petct pathological response stages ii iii breast cancer patients following neoadjuvant chemotherapy docetaxel nanprospectively study value petct fluorine fluorodeoxyglucose fdg predict neoadjuvant chemotherapy nac response locoregional disease stages ii iii breast cancer patients
