boolean_relationship,relationship_info,pmid,chemical_name,disease_name
True,prompted case clozapine related pericarditis adolescent undertook retrospective chart review discover whether unrecognized cases myocarditis pericarditis cardiomyopathy among children adolescents young adults treated clozapine nan,15319023,clozapine,myocarditis
True,reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycin nan,9270425,erythromycin,hearing loss
False,triiodothyronine augmentation ssris may promising treatment strategy ssriresistant mdd particularly subjects atypical mdd subtypenan,16086620,Triiodothyronine,MDD
True,hand mydriasis tremor clonictonic convulsions evoked carbachol eserine significantly changed calcium chloridenan,6892185,carbachol,mydriasis
False, children bacteriologically andor serologically diagnosed typhoid fever treated kem hospital bombay initially one three recommended drugs viz chloramphenicol amoxycillin cotrimoxazole given days defervescence occurnan,9136240,amoxycillin,typhoid fever
False,vitro antistaphylococcal activity rp new streptogramin comparable vancomycin teicoplanin staphylococcus aureus rp active agent coagulasenegative staphylococcinan,1503448,vancomycin,RP
True,intestinal pseudoobstruction ogilvies syndrome occurred patients placebo group patients lactulose group patients polyethylene glycol groupnan,17893628,lactulose,Intestinal pseudoobstruction
True,spasm provocation test using acetylcholine performed carefully although considered safe reliable methodnan,11078314,acetylcholine,spasm
True,strong association found nephritis dermatitis due tiopronin dpenicillamine like compound class antigens bcw dermatitis due gold thiosulphatenan,3084782,Tiopronin,nephritis
True,depression memory problems anxiety mood fluctuation poor concentration infections tremorstwitches weight loss significantly associated extent ecstasy usenan,12404677,Ecstasy,memory problems
False,eight single nucleotide polymorphisms snps slca genotyped aspirin intolerant asthma aia aspirin tolerant asthma ata patients korean ethnicitynan,20597903,aspirin,asthma
False,patients significant lung disease aviptadil tended improve oxygenationnan,18978135,aviptadil,lung disease
True,tenofovir particularly given ritonavir boosted protease inhibitor rpi reduces bone mineral density bmd increases bone turnover markers btms associated increased fracture risknan,24460797,ritonavir,fracture
False,reflectance confocal microscopy rcm noninvasive method validated monitoring treatment lm imiquimod nanused treatment,24725478,imiquimod,LM
False,studies far patients shock syndrome possible effects corticosteroids thrombocytopenia bleeding well complications dengue unknownnan,18789467,corticosteroids,thrombocytopenia
False,predictive value petct pathological response stages ii iii breast cancer patients following neoadjuvant chemotherapy docetaxel nan,23809513,docetaxel,breast cancer
True,dizziness nausea nin unsteadiness also depended nicotine dosage nicotine blood concentration better predictor temporal dependence nystagmus nicotine dosagenan,17990061,nicotine,unsteadiness
True,mechanism paracetamol induced hypotension critically ill patients prospective observational crossover studynan,22424816,paracetamol,hypotension
True,recent years increasing evidence suggested messenger molecule nitric oxide  involved pain mechanisms migraine without aura naninvolved key word,10524660,nitric oxide/NO,migraine without aura
False,iron vitamin deficiencies impact anemia immune systemnan,21147712,Iron,anemia
False,sixty type diabetic patients randomized take delapril mgday manidipine mgday weeks open label designnan,11336083,delapril,diabetic
True,gentamicin sulfate tobramycin sulfate continue demonstrate ototoxicity nephrotoxicity animal clinical studiestobramycin sulfate causes ototoxicity animals humans,7420681,tobramycin sulfate,ototoxicity
False,one pregnant patients taking levothyroxine hypothyroidism nan,11561329,levothyroxine,hypothyroidism
True,addition doubling blood mn increased risk hypertension  fold women men participants respectively adjustment covariatesnan,21601843,Mn,hypertension
False,determined safety iv trastuzumab mgkg followed mgkg every weeks combination chemotherapeutic agents administered weekly courses docetaxel vinorelbine capecitabine patients herpositive recurrent locoregional andor metastatic breast cancer nan,16249641,docetaxel,breast cancer
True,inhibition platelet activating factor pafinduced aggregation human thrombocytes ginkgolides considerations possible bleeding complications oral intake ginkgo biloba extractsnan,15693702,ginkgolides,bleeding complications
False,methotrexate mtx sulfasalazine ssz cyclosporine csa widely used dmards treatment psa safe effective patients active peripheral arthritis although appear effective axial manifestationsnan,12463452,Methotrexate/MTX,PsA
True,xbp mrna splicing expression endoplasmic reticulum stress response genes determined cells exposed thapsigargin presence absence quinotrierixinnan,23335849,thapsigargin,endoplasmic reticulum
True,study postulated acute renal failure induced gentamicin transient dynamic response blood vessels could affected antioxidants prevent changes dynamic responses blood vesselsnan,19893084,gentamicin,acute renal failure
True,ssriinduced sexual dysfunction described fluoxetine paroxetine sertraline fluvoxamine weeks therapynan,9825088,paroxetine,sexual dysfunction
False,commit trial demonstrated clopidogrel produced relative reduction death reinfarction stroke vs  ci stelevated myocardial infarction stemi patientsnan,18586338,clopidogrel,death
True,twentyone consecutive cancer patients morphine induced delirium underwent opioid rotation fentanylnan,16043013,morphine,delirium
False,pancreatic cancer cells lack erbb display activation erbbpikakt cascade induced egfrerbb heterodimers become less critically dependent egfr signaling therefore resistant erlotinib nan,17457047,erlotinib,Pancreatic cancer
False,evaluate whether two molecular biomarkers thymidine phosphorylase tp dihydropyrimidine dehydrogenase dpd could clinically useful predicting improving chemotherapeutic outcome oral fluoropyrimidine capecitabine dfur xeloda treatment human head neck squamous cell carcinoma hnscc nan,19117293,thymidine,head and neck squamous cell carcinoma/HNSCC
False,epidemiologic clinical studies suggest magnesium may reduce frequency sudden death sodium contributes occurrence hypertension calcium may help prevent osteoporosisnan,9727819,calcium,hypertension
False,psychic area delta thc may induce unpleasant reactions disconnected thoughts panic reactions disturbing changes perception delusions hallucinatory experiencesnan,15302527,THC,THC
False,compare additional intraocular pressurelowering effect latanoprost administered daily pilocarpine administered three times daily patients primary openangle glaucoma ocular hypertension currently monotherapy timolol twice dailynan,10901475,pilocarpine,ocular hypertension
True,episodes hypotension transient reduction splanchnic perfusion common patients treated remifentanil compared receiving fentanyl opioid regimennan,17285425,remifentanil,reduction in splanchnic perfusion
True,apparent calcium chloride dissociate vocalization fighting autonomic motor phenomena mydriasis tremor clonictonic convulsions caused carbachol eserinenan,6892185,carbachol,mydriasis
True,refractory gcse continuous iv midazolam infusion mgkghr mgkg iv bolus effective advantages traditional therapies induces less hypotension cardiorespiratory depression easily titratednananother ambiguous one chemical induce less disease mean causes disease probably much,10516875,midazolam,less hypotension
False,striatal alpha nicotinic acetylcholine receptors potential targets parkinson's disease therapynanused treatment,16210393,acetylcholine,Parkinson's disease
True,antenatal indomethacin associated increased risk periventricular leukomalacia odds ratio  confidence interval ci nan,17980183,indomethacin,periventricular leukomalacia
True,compared amiloride treatment chlorthalidone phase associated increased frequency ventricular ectopic beats hour holter monitoring higher lown grading increased upslope duration monophasic action potential prolonged ventricular effective refractory period increased electrical instability programmed ventricular stimulationnan,3732088,chlorthalidone,ventricular ectopic beats
False,diuretics blockers inhibit renal sodium reabsorption renin release respectively hypothesized blocker diureticinduced blood pressure reduction prevention cardiovascular disease would greater patients highest enac expression rs gallele whereas would genetically mediated differences treatment efficacy among patients treated vasodilator diltiazemnan,21052022,sodium,cardiovascular disease
True,orally ingested pahs also cause toxicity even affect pharmacokinetic behavior therapeutic agentsnan,23898780,PAHs,toxicity
True,review describes proinflammatory effects tfas diary diet various systemic disorders also discusses possible role tfas gut inflammation nan,24251700,TFAs,inflammation
True,report describes course three patients developed perforations colonic diverticula temporally related corticosteroid usenan,2353866,corticosteroid,colonic diverticula
True,hemolytic uremic syndrome may associated variety etiologies chemotherapeutic agents also reported associated hemolytic uremic syndrome including mitomycin cisplatin bleomycin recently gemcitabinenan,16006690,cisplatin,Hemolytic uremic syndrome
True,furthermore downregulation rat sarcoma ras upregulation extracellularsignalregulated kinase erk also observed ags cells treated curcumin western blotnan,25492214,curcumin,rat sarcoma/Ras
True,pressor bradycardia effects cirazoline abolished chronic prazosin treated shr  compared untreated shr nan,1355091,cirazoline,bradycardia
False,doselimiting toxic effects dlts reversible ataxia oculomotor nerve palsy occurred two patients prostate cancer receiving weekly ca4p mgmnan,21765046,CA4P,prostate cancer
True,proposed dietary saturated fatty acids sfas may also serve endogenous ligands tlr tlr thereby promoting diseases associated inflammation dyslipidemia including atherosclerosis insulin resistancenan,19661481,saturated fatty acids/SFAs,atherosclerosis
True,although adr generates free radicals role free radicals development cardiac toxicity intracellular target adr induced cardiac toxicity still well understoodnan,8787689,ADR,cardiac toxicity
True,contribution sodium valproate syndrome inappropriate secretion antidiuretic hormone nan,11195262,sodium valproate,syndrome of inappropriate secretion of antidiuretic hormone
False,data suggest clonal abnormalities observed posttransplant best explained clinical relapse tumor ex vivo marrow purging 4-hc likely induce clonal chromosome abnormalities normal cellsnan,8453599,4-HC,clonal abnormalities
True,prolonged elimination transdermal fentanyl become problematic patients develop opioidrelated adverse effects especially hypoventilation nan,14583070,fentanyl,hypoventilation
False,prospectively study value petct fluorine fluorodeoxyglucose fdg predict neoadjuvant chemotherapy nac response locoregional disease stages ii iii breast cancer patientsnan,23809513,fluorine-18 fluorodeoxyglucose,breast cancer
True,previous studies demonstrated ketamine morphine induced analgesia catalepsy ratnan,2716967,ketamine,catalepsy
False,conclude single day course tobramycin treatment patients cystic fibrosis preexisiting auditory deficit measurable effect hearing apparent either threetimesdaily treatmentnan,16801404,tobramycin,cystic fibrosis
True,however three case control studies one north carolina northern maryland west berlin germany showed habitual use acetaminophen also associated chronic renal failure esrd relative risk range habitual use acetaminophen causes chronic renal failure,8669433,acetaminophen,chronic renal failure/ESRD
True,concluded solid evidence exists hepatic injury due amiodarone treatment including steatosis alterations resembling alcoholic hepatitis cholestatic hepatitis micronodular cirrhosis liver nan,3962737,amiodarone,cirrhosis of the liver
False,evaluate efficacy safety nighttime dosing tolterodine extended release ter men overactive bladder oab nocturianan,16904446,tolterodine,overactive bladder/OAB
True,syncope associated documented paroxysmal atrioventricular block reproduced adenosine triphosphate injectionnan,24128810,triphosphate,Syncope
True,recent studies anestheticinduced unconsciousness humans focused predominantly intravenous drug propofol identified anterior dominance alpha rhythms frontal phaseamplitude coupling patterns neurophysiological markersnan,25296108,propofol,unconsciousness
True,accelerated nodulosis low dose methotrexate therapy rheumatoid arthritisnan,1404122,methotrexate,Accelerated nodulosis
True,commonly documented single type thrombotic ae rfviia infusion cerebrovascular thrombosis myocardial infarction frequent type patients receiving feiba nan,15456478,FEIBA,myocardial infarction
True,moreover alcohol abuse produce cardiac arrhythmias hypertension cardiomyopathy stroke even sudden deathnan,9751945,alcohol,cardiac arrhythmias
True,spite conflicting reports emerging evidence least two atypical antipsychotics clozapine olanzapine associated increased risk developing glucose dysregulation new onset diabetes mellitus nan,15107197,clozapine,glucose dysregulation or new onset diabetes mellitus
True,microtubule inhibitor mtibased chemotherapies used treatment breast cancerincluding vinca alkaloids taxanes epothilonesare known associated peripheral neuropathy nan,18567992,taxanes,peripheral neuropathy
True,general duloxetine well tolerated patients achieved maximum dose insomnia asthenia adverse events reported statistically significantly duloxetine treated patients compared placebotreated patientsnan,11926722,duloxetine,insomnia
True,multicentre phase ii trial determine efficacy vinflunine secondline therapy patients advanced transitional cell carcinoma tcc bladder secondary objectives assess duration response progressionfree survival pfs overall survival os evaluate toxicity associated treatmentnan,16622447,vinflunine,toxicity
True,male cats seemed susceptible female cats acetaminophen toxicosis  males died hepatic failure cats given acetaminophen methylene blue given acetaminophen nacmethylene bluenan,8585668,acetaminophen,toxicosis
True,inhaled silicate dusts may cause lung disease surface coordination iron subsequent oxidant generation via fenton reactionnan,1977006,iron,lung disease
False,bw2258u89 grp receptor antagonist inhibits small cell lung cancer growthnan,7869832,BW2258U89,small cell lung cancer
False,patients risk coronary events nitroglycerin may required treat acute symptoms myocardial ischemia nan,19887953,nitroglycerin,myocardial ischemia
False,subjects t2dm pm associated increased bp ozone associated decreased bpnan,22020729,ozone,T2DM
True,epothilones new class mti may associated grade peripheral neuropathy however neuropathy associated ixabepilone novel epothilone analog generally mild moderate reversible baseline grade levelsnan,18567992,ixabepilone,peripheral neuropathy
True,analysis cycles suggests hypotension paracetamol caused reduction cardiac index systemic vascular resistancenan,22424816,paracetamol,hypotension
False,standard culturebased testing susceptibility mycobacterium tuberculosis pyrazinamide difficult performnan,21768515,pyrazinamide,tuberculosis
False,findings indicate causes profound suppression adrenal steroid production addition suppresses ovarian secretion androgens postmenopausal breast cancer patientsnan,9816328,androgens,breast cancer
False,introduction pegylated interferon ribavirin combination therapy significantly improved treatment options hivhepatitis viruscoinfected patients become available leading sustained virological response rates nanused treatment,16374211,interferon,HIV/hepatitis C virus-coinfected
False,circulating levels mcp silr il il predict anemia response pomalidomide therapy myelofibrosis nan,21442636,pomalidomide,myelofibrosis
False,conduct first systematic literature review clinical trials n-acetylcysteine nac treatment substance abuse disorders addictive behaviors nan,24676047,NAC/N-acetylcysteine,addictive behaviors
True,small significant increase respiratoryrelated deaths vs rr  ci  asthmarelated deaths vs rr  ci  combined asthmarelated deaths lifethreatening experiences vs rr  ci  subjects receiving salmeterol vs placebonan,16424409,salmeterol,deaths
False,however according california regulations lithium batteries tested classified hazardous due excessive levels cobalt average mgkg  limit copper average mgkg  limit nickel average mgkg  limit nan,23638841,lithium,California regulations
False,cells bcrmediated apoptosis affected nystatin treatment whereas increased beta mcd pretreated cellsnan,14565868,nystatin,MCD
True,pooled analysis monotherapy trials common adverse events occurring  patients twice incidence placebo reported acute phase asenapine monotherapy bipolar mania somnolence dizziness extrapyramidal symptoms eps akathisia increased bodyweight similar nature occurring longerterm monotherapy asenapine nan,21323396,asenapine,dizziness
False,generic fixed dose combination stavudine dt lamivudine 3tc nevirapine nvp named gpovir recommended hiv treatment guidelines thailandnan,22299411,lamivudine/3TC,HIV
False,hand mydriasis tremor clonictonic convulsions evoked carbachol eserine significantly changed calcium chloride nan,6892185,calcium chloride,mydriasis
False,clonogenic assays measure leukemia stem cell killing detectable chromium release flow cytometric cytotoxicity assaysnan,20230219,chromium,cytotoxicity
True,nmda mediated mechanisms glucocorticoid actions hippocampus associated brain damage nan,8123218,NMDA,brain damage
False,endomorphin muopioid receptor agonists produced concentrationdependent naloxone sensitive inhibition cholinergic contractile responses guineapig trachea microm    respectivelynan,10422636,naloxone,trachea
True,patient rheumatoid arthritis developed lifethreatening pancytopenia resulting low dose oral methotrexate mtx toxicity potentiated probenecid nan,2066953,probenecid,toxicity
True,animal experiments highdose exposure cd induced severe testicular interstitial hemorrhage edema increased incidence fetal death placental necrosisnan,16788562,Cd,edema
True,although androgens effect prostatic cells believed dihydrotestosterone dht active metabolite primarily utilized prostatic cancer cells growth divisionnan,8358057,dihydrotestosterone/DHT,prostatic cancer
True,explore potential dexrazoxane suppress subclinical cardiotoxicity ms patients receiving mitoxantrone nan,16374818,mitoxantrone,cardiotoxicity
False,report administration mth-68/h patients glioblastoma multiforme common aggressive neuroectodermal neoplasm poor prognosis averaging six months yearnan,15072452,MTH-68/H,glioblastoma
True,environmental impact associated resource depletion human toxicity mainly associated cobalt copper nickel thallium silver whereas ecotoxicity potential primarily associated cobalt copper nickel thallium silver nan,23638841,silver,toxicity
False,comprehensive review peer reviewed literature performed topic secondary hormonal therapies including oral antiandrogens adrenal androgen inhibitors corticosteroids estrogenic compounds gonadotropinreleasing hormone antagonists alternative hormonal therapies advanced prostate cancer nan,16406864,gonadotropin-releasing hormone,prostate cancer
False,aim reevaluate whether metformin may reduce late miscarriagepreterm delivery pre-eclampsia gestational diabetes women polycystic ovary syndrome pcos nan,23006146,metformin,polycystic ovary syndrome/PCOS
False,taxine taxine toxic alkaloids taxus block cardiac sodium calcium channels causing nausea vomiting abdominal pain cardiac arrhythmias respiratory distress coma seizures death yew poisoningnan,20528617,sodium,coma
False,oral azithromycin regime effective treatment acute exacerbations chronic bronchitis similar efficacy longer pivampicillin regime may offer superior patient compliancenan,10983860,azithromycin,bronchitis
True,vancomycin metronidazole used treating clostridium difficileassociated disease cdad past years approximately  patients develop recurrent disease nan,15673502,Vancomycin,recurrent disease
False,discuss diverse groups saponins dioscins saikosaponins julibrosides soy saponins ginseng saponins avicins investigated relation tumor therapy focus cellular systemic mechanisms tumor cell growth inhibition vitro vivonan,18537712,saponins,tumor
True,sensitization cells cisplatin cytotoxicity induced pakt inhibition mediated upregulation puma whereas induced perk inhibition occurred bcl downregulationnan,23783141,cisplatin,cytotoxicity
True,estimation cumulative cochleotoxic risk cystic fibrosis patients due repeated aminoglycoside therapy evidenced patients excluded study due hearing loss also requires characterizationnan,16801404,aminoglycoside,cystic fibrosis
False,nedocromil sodium prevention exerciseinduced bronchospasm athletes asthmanan,8412049,Nedocromil sodium,bronchospasm
False,anesthesia propofol significant reducing effect seizure duration course ect results inadequate seizures despite use higher mean stimulus chargenan,23774194,propofol,seizures/seizure
True,supports extends previous evidence mechanism enflurane andor isoflurane could produce hypersensitivity condition similar halothane hepatitis either alone subsequent halothane administrationnan,7647582,halothane,hepatitis
True,median visual analog pain scale scores acetazolamide latanoprost travoprost brinzolamide timolol groups   respectivelynan,23461283,acetazolamide,pain
True,results demonstrate 12(s)-hete shete activates erk fak signalling pathways thereby upregulates adhesion metastatic potential melanoma cellsnan,23664097,12(S)-HETE,melanoma
False,bortezomib thalidomide lenalidomide improved therapeutic armentarium patients refractory relapsed disease often used combination dexamethasone chemotherapeutic agentsnan,21509688,thalidomide,relapsed disease
False,results two randomized controlled clinical trials suggest amifostine significant radioprotective effects salivary glands radioactive iodine treatment differentiated thyroid cancer nan,20130857,amifostine,thyroid cancer
True,alternative nonsurgical procedure reducing left ventricular outflow tract lvot gradient ptsma alcohol induced septal branch occlusion introducednan,9462563,alcohol,septal branch occlusion
True,hand mydriasis tremor clonictonic convulsions evoked carbachol eserine significantly changed calcium chloridenan,6892185,eserine,mydriasis
False,curcumin reduced serum glucose cholesterol triglyceride low density lipoprotein levels highfatdietinduced obese ratsnan,23533564,Curcumin,obese
True,describe occurrence management sexual dysfunction induced selective serotonin reuptake inhibitors ssris provide overview sexual dysfunction reports ssriinduced sexual dysfunction management strategiesnan,9825088,serotonin,sexual dysfunction
True,little known cardiovascular effects memantine reports bradycardia reduced cardiovascular survival associated usenan,24777654,memantine,bradycardia
False,largest included study met inclusion criteria suggested dcp effective prevention episodic weakness hypokalemic hyperkalemic periodic paralysesnan,18254068,DCP,weakness in both hypokalemic
False,genotypic resistance analysis performed mothers plasma samples week postpartum pp human immunodeficiency virus hiv dna peripheral blood mononuclear cells pbmc nvp resistance mutation detectednan,17178792,NVP,immunodeficiency
False,intravenous beta blockers verapamil diltiazem may given immediately slow rapid ventricular rate af nan,18562808,diltiazem,AF
False,allergic rhinitics mild asthma randomized day treatment period either nasal budesonide  puff per nostril twice day placebonan,21050027,budesonide,mild asthma
False,twentysix percent athletes controls latent iron deficiency without anemia symptomsnanathletes disease,11183845,iron,athletes
False,bupivacaine morphine unlike entonox produce lower pain scores associated drain removalnan,15616079,Bupivacaine,pain
False,oral dose telithromycin mg daily seven ten days effective welltolerated firstline treatment mild moderate cap adultsnan,12925111,telithromycin,CAP
True,report case nonadherence due severe pain associated topical use clotrimazole solution earnan,23932769,clotrimazole,pain
False,doselimiting toxic effects dlts reversible ataxia oculomotor nerve palsy occurred two patients prostate cancer receiving weekly ca4p mgmnan,21765046,CA4P,ataxia
False,oral propranolol clinically effective reducing volume color infantile hemangiomas although reduction complete telangiectasia scarring persisted treatmentnan,22727954,propranolol,hemangiomas
False,specifically hypothesized ripc isoflurane anesthesia attenuates myocardial injury patients undergoing coronary artery bypass graft cabg surgery effects may different propofol anesthesianan,22103808,propofol,RIPC
False,significant reductions scores breast feeding glucose plus pacifier groups compared two groupsnan,12511452,glucose,breast feeding
True,possibility choreoathetoid movements considered patients presenting pemoline overdose nan,9022662,pemoline,overdose
True,present data association manganese mn level hypertension representative sample adult korean population participated korean national health nutrition examination survey knhanes nan,21601843,Mn/manganese,hypertension
True,diuretic therapy likewise associated greater risk decreased renal function enalapril group rr  ci placebo group rr  ci nan,10539815,enalapril,decreased renal function
True,understanding toxicity carbon nanotubes environment crucial control nanomaterials producing processing assessment health risk human reviewnan,23770455,carbon,toxicity
False,first study among liver transplant recipients recurrent hcv describe positive impact sirolimus respect reduced fibrosis extent rate progressionnan,21967703,sirolimus,fibrosis
True,adverse event zotepine induced seizure published case reportsnan,23543675,zotepine,seizure
False,epinephrine challenge powerful test establish electrocardiographic diagnosis silent lqt mutation carriers thus allowing implementation prophylactic measures aimed reducing sudden cardiac death nan,12598076,Epinephrine,cardiac death
True,vitro evidence dependence tumor growth glutamine deterred use clinic settingnan,8942537,glutamine,tumor
True,acute cholestatic hepatitis exposure isoflurane nan,11847945,isoflurane,cholestatic hepatitis
False,meantime asenapine option management manic andor mixed symptoms patients bipolar disorder may particular value patients high risk metabolic abnormalities nan,21323396,asenapine,metabolic abnormalities
True,aspirin group complication gastrointestional symptoms mainly epigastric pain frank bleeding observednan,7798824,aspirin,epigastric pain
False,ivermectin treatment appears appropriate method control recrudescence infection area parasite reservoir virtually eliminated vector control core area ocpnan,2198750,Ivermectin,infection
False,rationale combining insulin oral drug therapy derives better understanding pathophysiology niddm mechanisms action oral drugs available type diabetic patients insulindeficient insulinresistant thus requiring quite high doses exogenous insulin peripheral insulin delivery leads hyperinsulinaemia could play role pathogenesis late diabetic complications sulphonylureas stimulate insulin release directly portal vein could also potentiate peripheral insulin action metformin improving glucose metabolism insulin sensitivity alphaglucosidase inhibitors slowing digestion complex carbohydrates sucrose able reduce amounts insulin needed control postprandial hyperglycaemianan,8212978,metformin,diabetic
True,objective study investigate dosedependent toxicity dphm patients acute dphm poisoning nan,11204550,DPHM,poisoning
True,randomised clinical trials observational studies shown increased risk myocardial infarction stroke hypertension heart failure treatment cyclooxygenase inhibitors cyclooxygenase inhibitors cause four diseases including stroke,16586083,cyclooxygenase inhibitors,stroke
False,binge eating disorder best evidence mood disorders cognitivebehavioral therapy well topiramate zonisamide select cases selective serotonin reuptake inhibitorsnan,22303523,serotonin,binge eating disorder
True,chart review potential features myocarditis pericarditis cardiomyopathy children adolescents treated clozapine nan,15319023,clozapine,myocarditis
False,twelve postmenopausal women suffering advanced breast cancer plasma estrogens androgens cortisol gonadotropins determined therapy treatment megestrol acetate oral doses escalated  mgnan,9816328,cortisol,breast cancer
True,androgens affect growth prostate gland many prostate cancers nan,8263129,Androgens,prostate cancers
False,objective prevention programme study whether combining pioglitazone lifestyle modification would enhance efficacy lifestyle modification preventing type diabetes asian indians impaired glucose tolerancenan,19277602,glucose,diabetes
True,polycyclic aromatic hydrocarbons pahs ubiquitous environmental pollutants toxicants focus establish cancer risks humansnan,23898780,PAHs,cancer
True,conclude mood anxiety fluctuations related levodopa dosing robust pharmacologic placebo effectsnan,7675241,levodopa,anxiety
False,cluster analysis smai patterns generated pulsedfield gel electrophoresis methicillin resistant mrsa  methicillin sensitive mssa staphylococcus aureus strains isolated various french hospitals mrsa mssa strains countries revealed genomic groups distributed four distantly related phylogenic branchesnan,12843025,methicillin,methicillin-resistant/MRSA
True,recent studies small bowel injury enteropathy associated lowdose aspirin increasingly recognizednan,21133822,aspirin,enteropathy
False,investigated clinical efficacy monotherapy topical steroid combined therapy ar patientsnan,17826020,steroid,AR
True,quetiapine appears increased risk sedation bodyweight gain albeit less olanzapine nan,11772153,olanzapine,bodyweight gain
True,less hour ingestion alcohol developed malaise flushing face tachycardia dyspneaingesting alcohol causes face flush already knew,19657887,alcohol,flushing of the face
